company-externalId,company-name,company-phone,company-website,company-locationAddress,company-locationCity,company-locationState,company-locationZipCode,company-locationCountry,company-locationName,company-document,company-owners,company-note
92837,ING Groep,0031205639111,www.ing.com,"ING Groep, Amstelveenseweg 500",,,1081 KL,,,,,"Status: Incomplete
Last Contacted: 2015-07-16
By: Danielle Green
Last Perm Job: 2009-11-03
Managed By: Danielle Green
Contract: Danielle Green
"
93076,Brown Brothers Harriman,0207 588 6166,,"London, Veritas House",London,,EC2A 1PN,,London,,,"Status: Incomplete
Contract: Danielle Green
"
93514,ING Wholesale Banking,0033 156 393939,,"Paris, Coeur Defense - tour A - La De",,,92 931,FR,FRANCE,,,"Status: Incomplete
Last Contacted: 2009-08-07
By: Danielle Green
Contract: Danielle Green
"
94200,LCH Clearnet,0207 426 7000,,"Aldgate House, 33 Aldgate High Street",London,,EC3N 1EA,GB,"London, UNITED KINGDOM","105502871.msg,105502872.pdf",,"Status: Active
Last Contacted: 2016-05-04
By: Danielle Green
Last Contract Job: 2016-02-15
Managed By: Danielle Green
Contract: Danielle Green
"
94219,Liberty Syndicates,(0)20 3758 0000,www.libertysyndicates.com,"5th Floor, Plantation Place South",London,London,EC3R 5AZ,,"London, London",430358.rtf,,"Status: Lead
Last Contacted: 2016-04-21
By: Danielle Green
Last Perm Job: 2012-01-05
Managed By: Danielle Green
Last Contract Job: 2013-08-08
Managed By: Gurdeep Singh
Contract: Stephen Hellier
"
94371,Citibank,02075 005 000,,"33 Canada Square, Canary Wharf",London,,e14 5lb,,London,,,"Status: Incomplete
Last Contacted: 2016-04-26
By: Danielle Green
Contract: Eric Thwaite
"
94384,Wansworth Borough Council,0208871 6000,,"Town Hall, High Street, Wansworth",London,,SW18 2PU,,London,,,"Status: Incomplete
Contract: Eric Thwaite
"
95509,Royal Bank of Scotland 2,02078 332 121,,"Aldgate Union, 10 Whitechapel High Street Aldgate",London,,E1 8DX,,London,,,"Status: Active
Last Contacted: 2016-02-16
By: Eric Thwaite
Last Perm Job: 2016-02-16
Managed By: Eric Thwaite
Contract: Eric Thwaite
"
95623,Threadneedle Investments,0207 464 5000,,60 St. Mary Axe.,,,EC3A 8JQ,,,,,"Status: Incomplete
Last Contacted: 2011-03-31
By: Danielle Green
Contract: Danielle Green
"
96635,Blowfish Digital,02070 252 700,,19-21 Hatton Garden,London,,EC1N 8BA,,London,,,"Status: Incomplete
Contract: Adam Oliver
"
98715,Standard Bank,0207 815 3000,,"Cannon Bridge House, 25 Dowgate Hill",London,,EC4R 2SB,,London,104885450.rtf,,"Status: Active
Last Contacted: 2016-04-26
By: Danielle Green
Last Perm Job: 2016-01-29
Managed By: Danielle Green
Last Contract Job: 2015-09-11
Managed By: Danielle Green
Contract: Danielle Green
"
100591,Gartmore Investment Management PLC,02077 822 000 ,,"Gartmore House, , 8 Fenchurch P",London,,EC3M 4PB,,London,,,"Status: Active
Last Contacted: 2009-09-29
By: Danielle Green
Contract: Danielle Green
"
101012,Ace European Grouop,020 7173 7000,www.aceeuropeangroup.com,"The Ace Building , 100 Leadenhall Street",London,London,EC3A 3BP,GB,"London, London, UNITED KINGDOM",,,"Status: Lead
Last Contacted: 2015-09-21
By: Carl Ashdown
Last Perm Job: 2010-09-16
Managed By: Sam King
Last Contract Job: 2010-10-12
Managed By: Chris Murphy
Contract: Stephen Hellier
"
101104,Moneysupermarket.com,01244665700 / 0203 437 0500,,"St Davids Park, Ewloe",Deeside,Chester,CH5,,"Deeside, Chester","1999875.rtf,96477474.pdf,104577847.rtf",,"Status: Active
Last Contacted: 2016-05-09
By: Adam Oliver
Last Visited: 2016-05-13
By: Alastair Band
Last Perm Job: 2016-05-09
Managed By: Adam Oliver
Last Contract Job: 2015-10-30
Managed By: Timothy McAllister
Contract: Adam Oliver
"
101154,OMD,02030234500,,"Minerva House, 1-4 North Crescent",London,,WC1E 7ER ,,London,111150125.rtf,,"Status: Active
Last Contacted: 2018-06-18
By: Adam Oliver
Last Perm Job: 2018-06-18
Managed By: Adam Oliver
Contract: Eric Thwaite
"
101526,Brit Insurance,02079 848 500 ,www.britinsurance.com,55 Bishopsgate,London,London,EC2N 3AS,GB,"London, London, UNITED KINGDOM",,,"Status: Incomplete
Last Contacted: 2016-02-23
By: Danielle Green
Contract: Stephen Hellier
"
101647,Ninah Consulting,02079611000,http://www.ninah.com/home/,24 Percy Street ,London,,W1T 2BS ,,London,,,"Status: Active
Last Contacted: 2015-03-10
By: Adam Oliver
Last Perm Job: 2015-03-10
Managed By: Adam Oliver
Contract: Curtis Reed
"
101673,UnumProvident,01306 887766,,Milton Court,Dorking,Surrey,RH4 3LZ,,"Dorking, Surrey",,,"Status: Incomplete
Last Contacted: 2009-10-08
By: Sam King
Contract: Adam Oliver
"
101675,CIPD,02086 126 200 ,www.cipd.co.uk,151 The Broadway,London ,,SW19 1JQ,,London ,,,"Status: Active
Last Contacted: 2015-11-10
By: Matthew Mangan
Last Perm Job: 2011-01-26
Managed By: Eric Thwaite
Contract: Sara Turkes
"
107497,RBS Insurance (Commercial lines),0207 6566000,,"Crown House, 145 City Road",London,,EC1V 1LP,,London,,,"Status: Incomplete
Last Contacted: 2011-09-08
By: Sam King
Last Perm Job: 2011-07-13
Managed By: Jerome Marks
Last Contract Job: 2011-09-08
Managed By: Sam King
Contract: Eric Thwaite
"
107974,Canopius,020 7337 3700 ,www.canopius.com,"Gallery 9 , One Lime Street ",London,London,EC3M 7HA,GB,"London, London, UNITED KINGDOM",722846.rtf,,"Status: Incomplete
Last Contacted: 2015-03-03
By: Carl Ashdown
Last Perm Job: 2011-03-07
Managed By: Chris Murphy
Last Contract Job: 2011-04-07
Managed By: Chris Murphy
Contract: Stephen Hellier
"
108120,Help The aged,02072 781 114,,207-221 Pentonville road,London,,,,London,,,"Status: Incomplete
Last Contacted: 2009-12-02
By: Eric Thwaite
Last Perm Job: 2009-12-02
Managed By: Eric Thwaite
Contract: Eric Thwaite
"
65817,MediaVest 2,0161 228 3909,,117-119 Portland Street,manchester,,m1 6ed,,manchester,,,"Status: Incomplete
Contract: Eric Thwaite
"
65820,Carphone Warehouse,02088 965 000,,1 portal way,london,,w3 6rs,,london,,,"Status: Active
Last Contacted: 2016-10-21
By: Henry Jackson
Last Perm Job: 2010-01-13
Managed By: Sam King
Contract: Eric Thwaite
"
66095,Teradata,020 8929 8000,,206 Marylebone Road,London,,NW1 6LY,GB,"London, UNITED KINGDOM",,,"Status: Incomplete
Last Contacted: 2015-09-10
By: Carl Ashdown
Last Contract Job: 2010-06-23
Managed By: Chris Murphy
Contract: Eric Thwaite
"
66400,Parity Group plc,0845 873 0790,,Wimbledon Bridge House,1 Hartfield Road,,SW19 3RU,,1 Hartfield Road,,,"Status: Incomplete
Last Contacted: 2009-01-20
Contract: Stephen Hellier
"
66430,Guinness World Records,02078 914 567,,184-192 Drummond Street,3rd Floor,,NW1 3HP,,3rd Floor,,,"Status: Active
Last Contacted: 2009-01-13
Contract: Stephen Hellier
"
66507,Coloplast Ltd,01733 392 000,,Peterborough Business Park,Peterborough ,,PE2 6FX,,Peterborough ,,,"Status: Incomplete
Last Contacted: 2015-03-24
By: Lawrence Donnelly
Contract: Stephen Hellier
"
67465,Ikano,01159 551 610,,"Adam House, Players Court",Nottingham,,NG7 5LN,,Nottingham,,,"Status: Incomplete
Last Contacted: 2013-11-19
By: Adam Oliver
Contract: Curtis Reed
"
67544,Cheltenham & Gloucester,01452 372 372,,Barnett Way,Gloucester,,GL4 3RL,,Gloucester,,,"Status: Active
Last Contacted: 2010-10-20
By: Chris Murphy
Last Perm Job: 2010-09-23
Managed By: Jessica Miles
Last Contract Job: 2010-10-20
Managed By: Chris Murphy
Contract: Eric Thwaite
"
67549,Zurich,01793 511 227,,"Zurich House, 2 Gladiator Way",Farnborough,Hampshire,GU14 6GB,,"Farnborough, Hampshire",,,"Status: Incomplete
Last Contacted: 2016-05-04
By: Danielle Green
Last Perm Job: 2013-06-14
Managed By: Danielle Green
Last Contract Job: 2011-09-21
Managed By: Jan Cook
Contract: Danielle Green
"
67920,Barclays (Coventry),To be confirmed,,"Swift House, West Wing, Ground Floor, 120 Longwood Close",Coventry,,CV4 8JN,,Coventry,,,"Status: Active
Last Contacted: 2011-10-11
By: Jan Cook
Last Perm Job: 2011-09-23
Managed By: Christopher Gunn
Contract: Eric Thwaite
"
67960,Nedstat 2,+31 205195400,,Herikerbergweg 280 ,Amsterdam,,1101,,Amsterdam,,,"Status: Incomplete
Contract: Stephen Hellier
"
68647,Pharmaceutical Product Development,01223 374 100,,Granta Park,Cambridge ,,CB21 6GQ,GB,"Cambridge , UNITED KINGDOM",,,"Status: Incomplete
Last Contacted: 2009-01-20
Contract: Stephen Hellier
"
68727,Call Credit,0113 244 1555,,Callcredit Information Group | One Park Lane | Leeds  ,,,LS3 1EP ,GB,UNITED KINGDOM,,,"Status: Active
Last Contacted: 2014-09-12
By: Hichem Cherki
Last Perm Job: 2014-09-12
Managed By: Hichem Cherki
Last Contract Job: 2011-08-08
Managed By: Christopher Gunn
Contract: Eric Thwaite
"
68772,Capital Market Daily,0207 481 9900,,99 Menthol Street,London ,,E1 8AX,,London ,,,"Status: Incomplete
Last Contacted: 2013-08-29
By: Stephen Hellier
Contract: Stephen Hellier
"
69090,ICEInsureTech,01276 600 577,,"Riverside House , 4 The meadows business park",Camberley,Surrey ,GU17 9AB,GB,"Camberley, Surrey , UNITED KINGDOM",1910841.rtf,,"Status: Active
Last Contacted: 2018-08-06
By: Max Petch
Last Perm Job: 2018-07-02
Managed By: Stephen Hellier
Last Contract Job: 2017-03-28
Managed By: Matt Allum
Contract: Stephen Hellier
"
69617,Swinton Insurance,0161 236 1222,,6-8 Great Marlborough Street,Manchester,,M1 5SW,GB,"Manchester, UNITED KINGDOM",105041115.rtf,,"Status: Active
Last Contacted: 2016-01-06
By: Stephen Hellier
Last Perm Job: 2014-02-04
Managed By: Adam Oliver
Contract: Eric Thwaite
"
69867,Pearson Education,01865 314 000,,"Halley Court , Jorden Hill ",Oxford ,Oxon ,OX2 8J,GB,"Oxford , Oxon , UNITED KINGDOM",,,"Status: Active
Last Contacted: 2015-01-27
By: Marcin  Hordyniec
Contract: Stephen Hellier
"
69883,Optimisa Research,0113 205 7000,,"Anglia House, Holly Park",Leeds,,LS28 5QS,,Leeds,,,"Status: Incomplete
Contract: Christopher Gunn
"
70042,Business & Decision Switzerland,+41 44 390 3721,,"Seestrasse 21 CH, 8702 Zollikon",Zurich,,,CH,"Zurich, Switzerland",2278762.rtf,,"Status: Incomplete
Last Contacted: 2009-01-14
By: Eric Thwaite
Last Perm Job: 2008-10-29
Managed By: Eric Thwaite
Contract: Stephen Hellier
"
70060,Olympic Delivery Organisation,020 3201 2000,,1 Churchill Place ,London,London,E14 5LN,GB,"London, London, UNITED KINGDOM",,,"Status: Incomplete
Contract: Stephen Hellier
"
70068,AIG Insurance,02079 547 000,,58 Fenchurch Street,London,,EC3M 4AB,,London,,,"Status: Active
Last Contacted: 2016-04-11
By: Danielle Green
Contract: Eric Thwaite
"
70073,Network Rail,020 7557 8000,,"Kings Place , 90 York Way",London ,London,N1 9AG ,,"London , London",,,"Status: Incomplete
Last Contacted: 2012-01-23
By: Jan Cook
Contract: Stephen Hellier
"
70108,Euromoney,02077 798 888,,"Nestor House , Playhouse Yard ",London,London,EC4V 5EX,GB,"London, London, UNITED KINGDOM",,,"Status: Active
Last Contacted: 2015-02-04
By: Carl Ashdown
Contract: Stephen Hellier
"
70407,Wiley Blackwell,01865 77 68 68,,9600 Garsington road ,Oxford ,,OX4 2DQ,,Oxford ,,,"Status: Incomplete
Last Contacted: 2014-07-28
By: Samantha Hogben
Contract: Stephen Hellier
"
70512,XMA,01727 201 800,,"7 Handley Page Way, Old Parkbury Lane",St. Albans,,AL2 2DQ ,,St. Albans,1859410.rtf,,"Status: Incomplete
Last Contacted: 2013-03-14
By: Jan Cook
Last Perm Job: 2013-03-14
Managed By: Jan Cook
Contract: Stephen Hellier
"
70632,Platform A,020 7092 2000,www.advertising.com,"Shropshire House , 11-20 Capper Street ",London,London,WC1E 6JA,GB,"London, London, UNITED KINGDOM",,,"Status: Incomplete
Last Contacted: 2015-04-24
By: Lawrence Donnelly
Contract: Stephen Hellier
"
70663,Echo managed services,01173 441 000 ,,103 Temple Street ,Bristol ,,BS1 6EN,GB,"Bristol , UNITED KINGDOM",,,"Status: Active
Last Contacted: 2013-02-19
By: Jason Chester
Contract: Stephen Hellier
"
70760,LLoyds Corporate markets,0207 232 3316,,"Red Lion Court, 46-48 Park street",London,,SE1 9EQ,GB,"London, UNITED KINGDOM",,,"Status: Active
Last Contacted: 2015-07-15
By: Danielle Green
Last Perm Job: 2015-04-16
Managed By: Danielle Green
Last Contract Job: 2014-02-03
Managed By: Danielle Green
Contract: Eric Thwaite
"
70878,Pearl Assurance,01733 47 22 00,,"The Pearl Centre, Lynch Wood",Peterborough,,PE2 6FY,GB,"Peterborough, UNITED KINGDOM",,,"Status: Incomplete
Contract: Eric Thwaite
"
70990,UC,+46 8 670 9000,,SE - 117 88 Stockholm,Stockholm,,se117,SE,"Stockholm, SWEDEN",,,"Status: Incomplete
Contract: Eric Thwaite
"
71036,Torus Insurance,0203 206 8000 ,,"5th Floor, 88 Leadenhall Street",London,,EC3A 3BP,GB,"London, UNITED KINGDOM",,,"Status: Incomplete
Last Contacted: 2015-08-11
By: Danielle Green
Last Perm Job: 2013-11-08
Managed By: Danielle Green
Contract: Eric Thwaite
"
71063,ICM Research 2,0800 585 501,,"Seton UK, Wildmere Industrial Estate",Banbury,Oxfordshire,OX16 3JU,,"Banbury, Oxfordshire",,,"Status: Incomplete
Contract: Adam Oliver
"
71173,HBOS personal lending,02920 476 398,,"Terra Nova House, Pier Head House",Cardiff,,CF10 4PB,GB,"Cardiff, UNITED KINGDOM",,,"Status: Incomplete
Last Contacted: 2013-02-15
By: Jan Cook
Last Perm Job: 2013-02-15
Managed By: Jan Cook
Contract: Eric Thwaite
"
71353,Trafficmaster,01234 759 000,www.trafficmaster.co.uk,"Martell House , University Way ",Beds,,MK43 0TR,,Beds,,,"Status: Incomplete
Last Contacted: 2008-11-12
By: Stephen Hellier
Contract: Stephen Hellier
"
71460,Rubicon computer Systems,01284 755 671,www.rubiconcs.co.uk,"Rubicon House , London road ",Bury St Edmunds ,Suffolk ,IP32 6NU,GB,"Bury St Edmunds , Suffolk , UNITED KINGDOM",,,"Status: Incomplete
Contract: Stephen Hellier
"
71466,IMS Health Ltd,02073 935 000,,7 Harewood Avenue,London,London ,NW1 6JB,,"London, London ",,,"Status: Active
Last Contacted: 2016-05-20
By: Henry Jackson
Contract: Stephen Hellier
"
71620,Friends Life,01179 899 000,,"AXA Centre , Brierly furlong",Bristol ,,BS34 8FW ,,Bristol ,1081609.rtf,,"Status: Active
Last Contacted: 2016-04-27
By: Danielle Green
Contract: Stephen Hellier
"
71663,Asprey,02074 936 767,www.asprey.com,167 New Bond Street ,London,London,W1S 4AY,,"London, London",,,"Status: Active
Contract: Stephen Hellier
"
72013,Active Media Business Solutions,01869 238 050 ,www.A-M-B-S.com,77 Heyford Park ,Upper Heyford ,Oxfordshire ,OX25 5HD ,GB,"Upper Heyford , Oxfordshire , UNITED KINGDOM",930273.rtf,,"Status: Lead
Last Contacted: 2015-05-13
By: Lawrence Donnelly
Contract: Stephen Hellier
"
72023,Grosvenor Casino,01628 504 000,,"Statesman House, Statesman House",Maidenhead,Berkshire,SL6 1AY,,"Maidenhead, Berkshire",,,"Status: Active
Contract: Curtis Reed
"
72029,Symantec Liric,01865 880366,,"The Stables , Jerico Farm ",Cassington ,Oxfordshire ,OX29 4FZ,,"Cassington , Oxfordshire ",,,"Status: Incomplete
Last Contacted: 2008-11-18
By: Stephen Hellier
Contract: Stephen Hellier
"
72111,BMW UK Manufacturing Plant (Oxford),01256 747 010 ,,"TO-M-1, Building 10.2.2",Oxford ,OXfordshire ,OX4 6NL,GB,"Oxford , OXfordshire , UNITED KINGDOM",,,"Status: Active
Last Contacted: 2015-03-19
By: Lawrence Donnelly
Contract: Stephen Hellier
"
72217,Informa Group,02070 175 402,,"18 King William Street, 6th Floor",London,,EC4N 7BP,GB,"London, UNITED KINGDOM",,,"Status: Active
Last Contacted: 2016-10-21
By: Henry Jackson
Contract: Stephen Hellier
"
72219,Javelin,02079 613 200,,3rd Floor,1 New Fetter Lane,,EC4A 1AN,GB,"1 New Fetter Lane, UNITED KINGDOM",,,"Status: Active
Last Contacted: 2015-04-08
By: Lawrence Donnelly
Contract: Stephen Hellier
"
72223,Sam Learning,0845 130 4160 ,,"The Forum, 74/80 Camden Street",London,,NW1 OEG,GB,"London, UNITED KINGDOM",,,"Status: Incomplete
Last Contacted: 2013-02-26
By: Jason Chester
Last Perm Job: 2009-07-30
Managed By: Louise Rowson
Contract: Eric Thwaite
"
72295,VTB,020 3334 8000,,14 Cornhill ,London,London,EC3V 3ND,,"London, London",,,"Status: Incomplete
Last Contacted: 2015-05-29
By: Lawrence Donnelly
Contract: Stephen Hellier
"
72871,Virgin Media Hook,01256752000 ,,"Media House, Bartley Wood Business Park",,Hampshire,RG27 9UP,,Hampshire,,,"Status: Active
Last Contacted: 2016-03-22
By: Alastair Band
Last Perm Job: 2009-04-22
Managed By: Sam King
Last Contract Job: 2016-02-26
Managed By: Timothy McAllister
Contract: Adam Oliver
"
73094,Derbyshire Building Society,01332 841 000,,Duffield Hall,Duffield,Derby,DE56 1AG,,"Duffield, Derby",,,"Status: Active
Contract: Sara Turkes
"
73630,GB Group,,,"GB House, Kingsfield Court",Chester,,CH4 9GB,,Chester,,,"Status: Incomplete
Contract: Curtis Reed
"
73668,Trillium Software,01189 407 600,,"1 Fortuna Court , Calleva Park ",,,RG8 8UV ,GB,UNITED KINGDOM,2203063.rtf,,"Status: Incomplete
Last Contacted: 2015-04-27
By: Lawrence Donnelly
Contract: Stephen Hellier
"
73687,Planning-Inc,02072972088,,"Sutherland House, 5-6 Argyll Street",London,,W1F 7TE ,,London,,,"Status: Incomplete
Contract: Christopher Gunn
"
73849,AC Nielsen,01865 528800,,"5TH FLOOR ENDEAVOUR HOUSE, 189 SHAFTESBURY AVENUE",London,,WC2H 8JG ,GB,"London, UNITED KINGDOM",,,"Status: Incomplete
Last Contacted: 2015-03-18
By: Timothy McAllister
Last Perm Job: 2013-03-14
Managed By: Jan Cook
Last Contract Job: 2013-07-09
Managed By: Eric Thwaite
Contract: Eric Thwaite
"
73989,Shopzilla,020 7653 8500,,111 Buckingham Palace Road ,London,,SW1W 0SR ,GB,"London, UNITED KINGDOM",,,"Status: Lead
Contract: Stephen Hellier
"
74165,Norwich & Peterborough Building Society,01733 372 372 ,,"Lynch Wood, Peterborough",Peterborough,,PE2 6WZ,GB,"Peterborough, UNITED KINGDOM",,,"Status: Incomplete
Contract: Eric Thwaite
"
74226,Elavon Merchant Services,01908 554 700,,"Matrix House, North Fourth Street",Milton Keynes,Buckinghamshire,MK9 1NJ,,"Milton Keynes, Buckinghamshire",,,"Status: Active
Contract: Adam Oliver
"
74231,DSGI Business Directl,0844 800 2030,,"Waterfold Park, Rochdale Road","Bury, Lancs",,BL9 7BJ,GB,"Bury, Lancs, UNITED KINGDOM",,,"Status: Incomplete
Last Contacted: 2008-12-10
By: Eric Thwaite
Last Perm Job: 2008-12-10
Managed By: Eric Thwaite
Contract: Eric Thwaite
"
74474,Liverpool Victoria,01202292333 / 08456405300,,"The 4th Floor, 69 Park lane","Croydon, Surrey",,CR9 1BG,GB,"Croydon, Surrey, UNITED KINGDOM","218245.rtf,334009.doc,671490.pdf,671491.pdf,1856636.msg,1856713.msg",,"Status: Active
Last Contacted: 2019-02-07
By: Calvin David
Last Perm Job: 2019-02-07
Managed By: Calvin David
Last Contract Job: 2018-07-20
Managed By: Louise Rowson
Contract: Eric Thwaite
"
74588,Rexam Plc,01582408999,,100 Capability Green,Luton,,LU1 3LG,,Luton,,,"Status: Incomplete
Contract: Adam Oliver
"
74601,Homebase,08456 016 911,,489-499 Avebury Boulevard,Milton Keynes,Buckinghamshire,MK9 2NW,,"Milton Keynes, Buckinghamshire",,,"Status: Incomplete
Last Contacted: 2014-06-18
By: William Rees
Contract: Adam Oliver
"
74762,AI Data Intelligence Nottingham,0115 988 272,,"Cumberland House, 35 Park Row",Nottingham,,NG1 6EE,,Nottingham,,,"Status: Active
Contract: Adam Oliver
"
75234,Disney Company,02082 221 000,,3 Queen Caroline Street ,London,,W6 9PE,GB,"London, UNITED KINGDOM",,,"Status: Lead
Last Contacted: 2015-04-28
By: Marcin  Hordyniec
Contract: Stephen Hellier
"
75549,OCBC Bank,0207 6530900,,"8th Floor, Aldermary House,10-15 Queen Street",London,,EC4N 1TX,GB,"London, UNITED KINGDOM",,,"Status: Incomplete
Contract: Eric Thwaite
"
75705,Rabo Bank,0207 809 3000,,1 Queen Hithe,London,,EC4V 3RL,,London,,,"Status: Active
Last Contacted: 2016-02-01
By: Timothy McAllister
Last Contract Job: 2016-02-01
Managed By: Timothy McAllister
Contract: Eric Thwaite
"
75777,Total Gas and Power,01737 275 800,,"Bridge Gate, 55/57 High Street","Redhill, Surrey",,RH1 1RX,GB,"Redhill, Surrey, UNITED KINGDOM",,,"Status: Incomplete
Contract: Stephen Hellier
"
76213,Compucredit UK Ltd,0207 016 9363 ,,1 Berkeley Street,London,,W1J 8DJ,GB,"London, UNITED KINGDOM",,,"Status: Incomplete
Last Contacted: 2009-01-12
By: Eric Thwaite
Last Perm Job: 2009-01-12
Managed By: Eric Thwaite
Contract: Eric Thwaite
"
76385,Flirt o matic,XX020 7479 4360XX ,,"Europa House, 2nd floor",54 Great Marlborough,,W1F 7JU,GB,"54 Great Marlborough, UNITED KINGDOM",,,"Status: Incomplete
Last Contacted: 2013-07-10
By: Robyn Halbert
Contract: Stephen Hellier
"
76760,Actica Consulting Limited,01483 540 200,,"30 Alan Turing Road , Surrey Research Park",Guildford ,Surrey,GU2 7YF ,,"Guildford , Surrey",,,"Status: Active
Last Contacted: 2017-03-14
By: Stephen Hellier
Last Perm Job: 2017-03-14
Managed By: Stephen Hellier
Contract: Stephen Hellier
"
77017,John Lewis Bracknell,01344 424 680,,"Doncastle Road, Southern Industrial area",Bracknell,Berkshire,RG12 8YA,,"Bracknell, Berkshire",,,"Status: Active
Contract: Adam Oliver
"
77303,Quant Marketing,02078365656,,"Golden Cross House , 8 Duncannon Street",London,,WC2N 4JF,,London,,,"Status: Active
Last Contacted: 2017-10-26
By: Eric Thwaite
Last Perm Job: 2017-10-26
Managed By: Eric Thwaite
Contract: Christopher Gunn
"
77326,B & Q,02380 690 000,,"Portswood House, 1 Hampshire, Corporate Park, Chandlers Ford","Eastleigh, Hampshire",,SO53 3YX,,"Eastleigh, Hampshire",,,"Status: Active
Last Contacted: 2009-02-09
By: Sam King
Last Perm Job: 2009-02-09
Managed By: Sam King
Contract: Eric Thwaite
"
