company-externalId,company-name,company-locationName,company-locationCountry,company-locationZipCode,company-phone,company-website,company-document,company-note
101837-1030-8338,Dianthus Medical,England,,SW19 2RL,020 8543 9229,http://www.dianthus.co.uk/index.php,,"Description: How the company was set up
Dianthus Medical Limited was established in 1999 by Dr Adam Jacobs, who has over 14 years experience working in the medical writing industry. Initially, Adam worked by himself, but as his list of satisfied clients grew he started recruiting other staff to help meet the demand, taking on the first in 2001. The company has continued to grow gradually since then, and there are now 10 of us. See staff profiles <staff.php> for more details of the current team.
It is our philosophy to grow the company slowly, ensuring that any expansion is sustainable and does not impact on the stability or the personal touch that our customers have come to rely on.

"
101910-9099-12216,Pentasia,England,,,017 3785 2329,,,
102024-3638-13112,Radvision,England,,,,,,
102029-5977-12216,The Chartered Institute of Taxation,England,,,020 7245 4122,,,
102038-1112-8189,Saffron Chase India,England,,W1J 6BD,020 7668 6161,http://www.chase-india.com/,,
102053-1580-7291,Goffin Consultancy,,,CT4 6AZ,+4401 227 709220,http://www.thegoffinconsultancy.com/pages/info.htm,,
102069-5968-1612,Intergraph,France - France,FR,94528,0145603000,,,
102146-6943-6318,Biolitec Pharma Ltd,,,,00353 146 37415,www.biolitecpharma.com ,,
102147-4925-6328,TBWA Raad Dubai,United Arab Emirates,,40604,00971 44258888,,,"Parent Company: Omnicom
Description: The new office in Burj Dubai Square has already created a buzz in the advertising industry for the details involved in developing an environment that maximises the creative potential of the 200 professionals who are bringing new levels of creativity to the market. 

'We want our agency to be recognized as the centre of communications excellence for the Middle East and North Africa. A place where advertisers turn to, for great campaigns and where talented advertising people come to develop bright careers,' explained Ramzi Raad, Chairman and CEO of TBWA\RAAD. 

'Knowing that the industry is driven by young people, we have really thrown all the conventions out of the window with our new office. It has all the elements and details necessary to provide both the best creative positive and pleasant atmosphere in which we can work to create disruptive campaigns - and our premises are ideal for doing just that!'


Now in its eighth year (2009), TBWA\RAAD has ensured that its new offices at Burj Dubai Square contain a range of features to maximise the creative environment of the agency. A range of attractive features for everyone includes an indoor basketball court and indoor garden. Staff can also play pool, bar football or chill out on massive beanbags while brainstorming on the latest campaigns. A cafeteria that offers a delicious range of healthy foods enables staff to have the right energy to keep up the pace on their active working lifestyles as well. For those who want to learn more, a library is available to expand their knowledge. 

TBWA\RAAD is also partnering with the best advertising education institute in the world - the Miami Ad School - to take on the brightest and best students. Currently TBWA\RAAD has two interns and is looking to increase numbers while taking part in the Greenhouse in-agency learning program, which provides lessons and tutelage from within the agency. 

The offices also include dedicated Project Rooms - given over to projects and campaigns where branding around specific campaigns is laid out over the long term to develop and innovate the brand. 

TBWA\RAAD's sister agencies, TEQUILA\MIDDLE EAST and TBWA\RAAD\PR, exclusive affiliate of KETCHUM, have offices on the same floor, making it the most advanced integrated agency in the region. 

The office can be found on the 6th floor of Building One of Burj Dubai Square.

"
102347-5872-6157,Llewellyn - Slade PR,,,RH15 0HQ,,http://www.llewellyn-slade.com/,,
102366-8163-1678,Fig,"London, United Kingdom",,,,,,
102512-8434-12216,Instinctif Partners ,England,,,020 7457 2829,,,
102526-8694-6135,GALLIFORD TRY,,,,+44(0)1895855000,http://www.gallifordtry.plc.uk/,,
102583-4461-12290,Yard Partners,England,,,020 7386 5700,,,
102698-9432-14330,ARC PR,England - United Kingdom,GB,W11 1DF,+44(0)2077925646,http://www.arcpr.co.uk,,
102943-3231-16344,BD myshopi,Belgium - Belgium,BE,1831,+32 (0)2 756 51 51,,,
103038-3624-12199,Kanta Media,,,EC2A 2JX,0207 868 6100,,,
103089-5642-14195,Vital Insights,Germany,,20251 HAMBURG,+49(0)4061135253,,,
103132-6814-12125,Rubber Republic,England,,,0845 680 1220,,,
103191-5235-985,Starcom Jeddah,Saudi Arabia,,21442,966 2 651 0500,www.smvgroup.com,,
103238-2601-6290,Kinapse,,,,+4420 894 67600,www.kinapse.com/contactus.html,,"Description: Specialist services for life sciences R&D organisations 

Business Consulting: Kinapse collaborates with its clients in defining measurable improvements and implementing change in R&D business processes and organisations 

Specialist Information Processing Services (SIPS) Kinapse collates, maintains, analyses and reports business critical information required by R&D organisations for internal reporting and external publishing

kynapse and
"
103391-9425-17137,JTI France,france - France,FR,92100,/,,,
103456-6670-6306,Immigration Advisory Service,,,,0207 967 1200,,,
103468-7084-12279,Ideas For Change,,,,,,,
103491-7280-6318,ALK-Abello UK Ltd,,,RG17 OYT,01488 686 016,www.alk-abello.com,,
103577-5536-1565,Design Activity,England,,BS8 1LT,01179339400,,,
103577-5892-8109,The Engineering and Technology Board,England,,,020 3206 0400 ,www.etechb.co.uk ,,"Description: promotes role of engineers and and technology in soceity.
"
103621-8160-6321,ABTA (Association of British Travel Agents),,,,+4402 076 372444,http://www.abta.com/,,
103687-7228-1561,ARIAD Pharmaceuticals,Switzerland - Switzerland,CH,NA,+41(0)213433000,,,
103723-6375-944,Ketchum Hong Kong,,,,852 2566 1311,www.ketchum.com,,
103810-2087-14317,Public Health England,England,,SE1 8UG,02076548000,,,
103873-9125-15131,Interbrand NZ,New Zealand - New Zealand,NZ,1010,+649-3541385,,,
103934-6601-13155,Sponge,England,,,02076121910,,,
103982-1096-11243,Citi,England,,,0800 00 55 00,,,
104102-1915-8112,Parker Williams,England,,W4 4PT,02089956411,http://www.parkerwilliams.co.uk/,,
104131-4195-8204,Sang neuf,France - Paris,,69004,+334 78 27 08 88,http://www.sang-neuf.fr/,,
104165-8559-13192,Be Wiser Insurance,England,,SP10 2HZ,0844 4999410,,,
104198-1612-14114,Tequila Rapido,France,,75 008,0155273901,,,"Description: 19 boulevard Malesherbes 
75008 Paris 
01 55 27 39 01
"
104219-7623-13197,Countryside Properties,England,,CM13 3AT,01277 260000,,,
104241-5317-8163,Greater London Authority (GLA),,,,020 7983 4000 ,,,
104261-4979-950,Orianis Communication,France,,75004,+33 9 52 7 77 747,http://www.orianis.fr/,,"Description: Orianis Communication offre une gamme complète de services dans les relations publiques notamment dans les relations presse, l'événementiel, l'édition on-line et le Coaching.

Nos collaborateurs vous accompagnent dans la réussite de vos enjeux de communication. Ensemble, nous élaborons la meilleure des stratégies que nous déclinerons en plan média, avec des actions efficientes, en vue d'aboutir à des résultats concrets et satisfaisants.

Orianis Communication possède une forte expertise dans les secteurs du Tourisme & Loisirs et des NTIC.
Origine : Fondée en 2000 par Mostefa BRAHIM.
 Équipe : 7 personnes et un réseau de collaborateurs externes réguliers. 
Réseau : Agences correspondantes à Londres, Alger, Bruxelles et Barcelone. 
Métiers : Relations presse, Lobbying, Événementiel, Édition, Web, Coaching.
Langues de travail : français, anglais, arabe, espagnol et allemand. 
Secteurs d'intervention : Tourisme & voyages - NTIC - Presse & édition - Institutions & service public - Distribution & services - Beauté & pharmaceutique -Art & culture.

"
104285-9894-12236,Smith and Monger,England,,NW10 5BN,08453 131713,,,
104325-8417-16326,OpenGamma,,,,,,,
104460-5589-15216,AT2G,France,,/,/,,,
104468-3006-7267,MCS Agency 2,,,,0207 734 9995,www.mcsagency.co.uk,,"Description: WEST HAM UNITED: English Premier League football club <http://www.whufc.com/>
GLANCEY MEDICAL AESTHETICS: leading minimally invasive cosmetic surgery. Entire practice staffed by women <http://www.glanceymedical.co.uk>/
LIZ HALLIDAY: Top American woman racing driver. Le Mans regular, voted “Rookie of Year” in US. Also successful international 3 Day Event competitor <http://www.lizhalliday.com/>
CHESTER COSMETIC DENTISTRY: Harley Street cosmetic dental practice led by top UK dental surgeon, Dr. Tariq Idris <http://www.dentalimplantsuk.co.uk/>
FOCUS GROUP: Spanish property company <http://www.focusinternationalproperty.com/>
KRISTINA SZEKELY REAL ESTATE: Highly prestigious Spanish based Pan European estate agency with strong celebrity clientele <http://www.ksmarbella.com/>
MAXIMUSCLE: World’s number one producer of Sports nutrition supplements used by British Lions, London Wasps and St Helens www.maximuscle.com <http://www.maximuscle.com>
SPIKEY: Inventor and producer of simple, ingenious product which prevents drinks being “spiked” www.spikey.co.uk <http://www.spikey.co.uk>
STUART PHILLIPS: West End based Celebrity Hairdresser to the show business world. www.stuartphillips.co.uk <http://www.stuartphillips.co.uk>
WATERFALL STUDIOS: Leading independent TV production company which provides programming to BBC, ITV, 4 and FIVE. Also runs innovative TV shopping channels “The Luxury Channel” and “Star Bazaar” www.waterfall-studios.com <http://www.waterfall-studios.com>
WHITE CLIFFS HAIR STUDIO: Creators of unique hair systems, entirely undetectable when in place, for men, women, and children as well as people suffering from a medical condition www.whitecliffsgroup.co.uk/ <http://www.whitecliffsgroup.co.uk/>
CLIC-CARD: A unique ‘Alternative Payment System’ for online services that gives the user complete anonymity and a safe payment method. www.clickcarduk.co.uk <http://www.clickcarduk.co.uk>
FITNESS FIRST: The world’s largest health and fitness club operator and with over a million members in more than 400 clubs. www.fitnessfirst.co.uk <http://www.fitnessfirst.co.uk> 
FOCUS INTERNATIONAL PROPERTY: A complete solution to purchasing overseas property. A bespoke service matching clients with their dream location anywhere in the world. www.focusinternationalproperty.com <http://www.focusinternationalproperty.com> 
LUMIERE ADVANCED LIGHT THERAPY: This breakthrough technology was developed by Cancer Research UK for medicinal use but is now available for non-invasive anti-aging treatment. www.pathwaytobeauty.co.uk <http://www.pathwaytobeauty.co.uk>
PARADISE WILDLIFE PARK: One of the UK’s leading privately owned zoos. Renowned for its work with big cats in captivity and the wild. www.pwpark.com <http://www.pwpark.com>
SCOTT HENSHALL: Scott, the youngest designer to show during London Fashion Week, is responsible for styling the world’s top celebrities including Victoria Beckham and Paris Hilton. Scott was creative director of Mulberry in 2000/2001 and has many TV appearances to his name, including Britain’s Next Top Model in 2006. Scott is now ready to unleash Core, the ultimate lifestyle brand.

"
104516-6486-5192,Corfin Communications,,,E1 8DE,0207 977 0020,www.corfinpr.com,,
104545-8190-5115,ZenithOptimedia,England,,W1T 4AY UK,+44 20 7961 1000,http://www.zenithoptimedia.com,,
104570-8704-1169,Tullow Oil,,,,(0)20 3249 9000,,,
104579-1532-9212,RPR (Positive Communications),South East,,AL3 7NH,01582 792 346,http://www.rpr-positive.co.uk/,,
104599-1771-7220,Stepback Healthcare,,,,,http://www.stepback-hc.com/index.htm,,
104609-2558-1598,Voyagermoinscher.com,France - France,FR,75002,01.42.78.94.56,http://www.voyagermoinscher.com,,
104737-7384-6325,Gulf Hill & Knowlton (Dubai),,,,00971 433 44930,www.hillandknowlton.com ,,
104840-2088-12216,Pelham PR,England,,,020 3008 5509,,,
104928-7442-8177,The Schön Business Park,,,,+971 4 321 9503,,,
104947-6344-13197,Watson Petroleum,England,, SN15 5DN.,,,,
105070-4982-6312,Medius Associates,England,,,,www.medius-associates.com,,"Description: all the staff are listed here: http://www.medius-associates.com/personnel.html

They are competitors of datamonitor consulting
"
105072-9462-8211,Watermelon Communications,United Arab Emirates - United Arab Emirates,AE,,971 4 2833655,http://watermelonme.com/en/,,
105169-7857-16130,Weill Cornell Medical School Qatar,Qatar,,24164,+97444928877,,,
105198-8745-8281,English Partnerships,,,,,,,
105285-5050-6348,E-xact marketing,,,,,,,
105302-2250-964,Blue,,,,,,,
105303-9326-6325,Al Jehag Typing & Public Relations (Abu Dhabi),,,,00971 276 1928,,,
105381-5704-7344,Temono,England,,W13 9EL,0207 981 9783,,,"Description: Telecoms PR specialists

Temono is a B2B communications services company for the wireless telecoms industry. We specialise in wireless telecoms and all our clients are in this industry and no other.
We believe that to effectively communicate with the telecoms media and analyst communities the key is knowledge of the technologies, issues and market dynamics that drive the industry.
For this reason all of our consultants are highly knowledgeable within the mobile domain, knowing their OFDMs from their HSDPAs and their BREWs from their MIDPs.


Temono delivers full-service PR and marketing consultancy. We provide our clients with the complete range of external communications tools to raise awareness amongst external stakeholders, whether they be prospects, clients or industry peers. The core services which we offer include:
	Media relations  Analyst relations  Speaking opportunities  Editorial opportunities  Case study programmes 	Press releases  Contributed articles/whitepapers  Analyst tours  Media tours  Trade shows 	


"
105510-7449-6132,FILTRONIC,,,BD18 3TT,(0) 1274 530 622,www.filtronic.com/,,
105562-8561-1444,Avec des mots,France,,,,,,
105623-8608-1678,Yieldify,"London, United Kingdom",,,,,,
105643-5603-15173,PR First,England - United Kingdom,GB,NW1 7HL,02071868000,www.prfirst.co.uk,,
105718-7488-13197,TJ Morris,England,,L11 0JA,"0151 530 2920,0151 530 2922",,,
105739-1871-7158,Baring Asset Management,,,,,http://www.barings.com/,,
105811-1399-16130,Murphy Group,England,,NW5 1TN,,,,
105896-6597-1678,Mailcloud,"London, United Kingdom",,,,,,
105929-3082-970,Euro RSCG Life Belgium,Belgium,,,+32 2348-3800,http://www.eurorscg.be/,,
105935-3330-14279,Bentley Motors,France - france,FR,92200,+33(0)147226666,,,
105965-6453-14300,KGB FRANCE,France,,75009 ,170360124,,,
106065-6315-14328,Adikteev,France - France,FR,75002,+33142614655,http://www.adikteev.com/,,
106115-5121-12284,Albion London 2,England,,E1 6JJ,+44 (0) 207 033 8900,,,
106152-9928-13247,Teletracking Technologies,USA - East,,PA 15222,1-800-927-0294,,,
106195-7117-13192,UK Flooring Direct,England,,CV7 9EL,0844 649 0038,,,
106285-7508-13344,London Creative,England,,,,,,
106336-6716-168,Lydia,France - France,FR,75002,+33179754030,https://lydia-app.com,,
106384-8132-6328,New Turning Point Advertising LLC (Dubai),,,,00971 433 50877,,,
106426-3874-12321,Kaper,England,,,020 3301 2125,,,
106534-5279-1365,Silver Spoon,England,,,01733 422696,,,
106544-1434-15131,Nude Brand Creation,England - England,GB,EC1V 9AA,02072532003,,,
106582-9812-14267,A3dimensions,France - France,FR,69 110,0478365027,http://www.a3dimensions.com/,,
106603-6114-11320,Intel (Singapore),,,,(65) 6-213-1000,,,
106675-8231-6165,Connect factory,,,,01 41 16 52 52,http://www.connectfactory.com,,"Description: marketing operationnel,
Event marketing
"
106681-8200-11315,Symantec (Singapore),,,,+65 6333 6366,,,
106692-4758-6317,Medeva Pharma Ltd UK,,,,+4401 613 426010,,,
106825-3109-14232,CMC-Markets Germany,Germany - Germany,DE,60329,+49(0)69222244000,,,
106855-8651-6327,Gulf Public Relations Abu Dhabi,,,,00971 263 41130,,,
106867-6368-7215,Milk Development Council,,,,,http://www.mdc.org.uk/,,
106957-5932-11103,Dialogue 141,England,,,0207 470 5800,http://www.dialogue141.com/,,
106967-6120-6325,Adis International,,,,,www.adis.com,,
106994-9948-12290,Surge Digital,England,,,0800 048 8704,,,
107051-3965-11335,Bostock and Pollitt,England,,WC2E 9HW,(0)20 7379 6709,http://www.bostockandpollitt.com/,,
107091-5721-13218,Commetric Ltd.,United Kingdom,GB,W1A 1PR,+44 (0) 207 973 5957,http://www.commetric.com,,
107160-8555-16323,Earthport,,,,,,,
107269-8347-16113,Sedona,France - France,FR,75008,+33144948990,http://www.sedona.fr/,,
107429-7481-697,Equitable Life,,,HP21 7QW,0845 603 6771,www.equitable.co.uk,,
107487-2402-14273,Profil design,France - France,FR,75006,0142170808,http://www.profil-design.com/,,
107639-1338-1621,Pull Media,France - France,FR,75008,+33972464883,http://pullmedia.fr/,,
107640-7592-14139,British Film Institute 2,England,,W1T 1LN,(0)2072551444,,,
107694-6296-15162,GrandVision,Netherlands - Netherlands,NL,1118 BG,/,,,
107793-2954-11334,Urban Outfitters,London,,,44 (0) 845 330 1288,,,
107811-1516-12178,Slaughter & May,,,,,,,
107818-1795-750,JWCM Associates,,,N1 9BE,0207 278 1915,www.jwcm.com,,
107824-8783-12216,Jordan Tourism Board,England,,,020 7371 6496,,,
107862-5020-1576,FutureBrand Singapore,Singapore - Singapore ,SG,238838,6568660570,,,
107956-5026-16134,Lima France,France - France,FR,75009,+33972455019,https://meetlima.com,,
107985-8539-13192,Hallam Medical,England,,S3 8BW, 0844 335 0395,,,
10800/92,Penna Consulting plc,,,EC3r 8ee,0800 028 1715,www.e-penna.com,,"Description: Our range of in depth expertise in human capital management spans the entire employment lifecycle and includes:

Resourcing
Recruitment Communications
Interim Executive 
HR Consulting  
Leadership Services 
Career Transition
We back this up with a strategic understanding of the way organisations work. 

Penna's uniqueness comes in the way we are able to combine our expertise in new and creative ways, so you will always get a solution which addresses your organisation's specific challenges.

We are able to deliver wherever our clients need support, through our innovative approaches and a network of offices and partner organisations in Europe, the USA, Canada, South America, the Far East and Australasia.

"
108065-7706-12275,Nielsen Singapore,Singapore,SG,, +65 6672 6600 ,,,
10808/203,Professional Recruitment Organisation 2,,,WC1R 4HE,0207 845 4200,http://www.proltd.com/,,
108105-1082-13191,staffcare,England,,KT22 7FG,0845 372 6644,,,
108241-1236-5201,Prformance,,,75010,+33 1 56 03 55 47,http://www.prformance.com,,"Description: 1001 DESSOUS (Site de vente de lingerie) 
ACROPOLIS TELECOM (opérateur de services voix, vidéo et données) 
ALAINN TOURS (Tour operator spécialisé sur l'Irlande) 
APPARTAGER.COM (Collocation) 
Budget:
ACTIVPERMIS (Contenu pour les auto-écoles - sites internet) 
AUTOMOBILE CLUB PREVENTION SIFA (Formation à la conduite) 
BACK UP AVENUE (Informatique Professionnelle) 
BELLES DEMEURES (Immobilier) 
BEST ADMISSION (Coach intégration étudiants 3e cycle) 
CESAM (Comité d'assureurs Maritimes et Transports) 
CFK FINANCE (Finance) 
COLLOQUE MAGASINS D'USINE ET CENTRES DE MARQUE (Evenement) 
COLLOQUIUM (Organisateur d'événements) 
COMBOUTIQUE (Site Internet) 
COMPANEO (Intermédiation de fournisseurs pour les TPE-PMEs) 
CREDIT SOCIAL DES FONCTIONNAIRES (PERP) 
DARRIGRAND (Vêtements semi et sur-mesure pour golfeurs) 
DCN BU CMS (Système de management de combat) 
DE TELMONT (Maison de Champagne) 
DEODITOO (Multimédia ludo-éducatif) 
HAIRSCAN (Laboratoire) 
INTERNATIONAL SOS (Assistance) 
MIDINOV (Travail collaboratif) 
NORMACTION (Courtage et téléphonie et télésauvegarde) 
PERSONALIS (Ressources Humaines) 
PROUDFOOT CONSULTING (Management) 
PYTHEAS (Informatique) 
TOP MANAGEMENT (Annuaire et services aux dirigeants) 
VALSOY (Crêmes glacées à base de soja) 
VIVASTREET.COM (Petites Annonces d'Utilité Publique) 
XYLEME (Informatique professionnelle) 

"
108250-3719-13115,Atsuke,France - France,FR,75003 ,+33(0)144593040,www.apocope.com,,
108251-1260-8189,Ocean Design,,,TN17 1BD,+44 (0)20 7670 2370,http://www.ocean-design.co.uk/index.asp,,"Description: branding, e commerce, identity, web design, 

"
108252-2496-1682,Kurt Salmon Associates,Germany,,EC4M 7RB,02077105200,,,
10856/175,Bastion,England,,EC1N 8FH,0207 421 7600,http://www.bastion.co.uk/launch.html,,"Description: Deal in video games pr only

tech / broadcast pr
"
108581-3951-6310,Soprano,,,,,,,
108604-7970-15104,LEC Health,France - United Kingdom,GB,2FF,,http://www.lec-health.com/,,
108675-2683-1627,Le Parisien,France - France ,FR,93400,0140105151,,,
108717-8307-1147,auFeminin.com,France - France,FR,75002 ,+33153577900,http://www.aufeminin.com/,,
108723-2286-12289,Block Solutions,England,,,084 4967 1646,,,
108739-7881-7325,Kysen PR,England,,W1T 3LN,0207 323 3230,http://www.kysenpr.co.uk/about.htm,,
108775-6184-6320,Molar Ltd,,,,01934 710 022,http://molarltd.co.uk/,,
108840-6147-1740,Premiership rugby,England,,TW1 3QS,02088317900,,,
108950-5929-1197,Mobas,,,CB22 5DG,44 (0)1223 841699,,,
109075-2718-11213,Depa Qatar,,,,+974 4443 6759,,,
109142-1498-11179,Mediaprism,,,,01 53 29 10 00,,,
109190-4146-10308,HowCom,,,,,,,
109209-6739-11346,Globaleye (Dubai),,,,+971 4 4043700,,,
109299-6846-11299,Media4U FZ LLC,,,,+971 4 430 3302 ,www.media4u.ae,,
109473-6987-888,Abu Dhabi Advertising,,,,,,,
109598-8192-754,Champollion,England,,WC2E 9LY,02075505620,www.champollion.co.uk,,"Description: Champollion is a young firm, owned and run by a team of experienced professionals. Between us, we have presented, directed and produced television news and current affairs programmes. We have staffed the newsrooms of intelligent broadsheets and popular tabloids, and written for a host of weekly and monthly magazines. We have held jobs in the headquarters of political parties and in Parliament, working closely with MPs from all sides, from the Prime Minister down. We have had senior responsibilities in very high-profile campaigns, including general elections, on the most controversial topics. And we have successfully managed front-page issues for clients ranging from blue-chip global businesses to tiny charities.

Since the summer of 2005 we have been building our own culture, a supportive and enterprising environment, choosing to work with people and issues we really care about. We offer a tailor-made service, shaped by the demands of our clients, in contrast to the one-size-fits-all attitude of many other firms. We provide high-level strategic advice, as well as the ability to deliver practical output, with an unrivalled appreciation of public policy issues, for organisations large and small. We have full command of all the relevant communications disciplines, with a proper understanding of how they relate to each other. Above all, we are proud of our values, our clients and our work.

The range of specific services we offer to support our clients include:

media management - from strategic guidance to a comprehensive press office service that includes drafting statements, briefing journalists and managing interventions in all forums of debate
  
media & message training - with experienced professionals, role-plays recorded as real by TV cameras for review, and disciplined message drilling
  
media monitoring & analysis - much more than a press cuttings service, an insider's appreciation of what the latest news really means
  
stakeholder relations - opinion formers' surveys, focus groups, contact-building programmes and sustained communication plans
  
reputation management & corporate communications - planning and implementing ways of promoting an organisation's strategic position or presenting a digestible narrative about its everyday work
  
public affairs - if you want an agency that promises privileged access to decision-takers then kindly look elsewhere - what we promise is a sophisticated understanding of how Parliament and Whitehall really work and help in presenting your case there
  
policy analysis & forecasting - staying ahead of current thinking in public policy debates, knowing what lines of argument will emerge from government, think-tanks, pressure groups and others across the political spectrum
  
bespoke event organisation - from press conferences and policy seminars to weekends away, a professional one-stop-shop service that takes care of every detail

Clients:

• Aston University
• Barrow Cadbury Trust 
• CPF 
• CIHE
• City Bridge Trust 
• Commonwealth 
Foundation 
• Commonwealth Writers 
Prize 
• The Day 
• Daycare Trust 
• E-Learning Foundation 
• EleQtra 
• Esmee Fairbairn 
Foundation 
• EPIM 
• Every Child a Chance 
Trust 
• Family & Parenting 
Institute FGM
• Garfield Weston 
Foundation 
• Head 
• Infinity 
• International Consortium 
of British Pensioners 
• Julie Hucker and 
Partners 
• Magnified Learning 
• Make Justice Work 
• Network 4 Africa 
• OikoCredit 
• Pearl Initiative
• Platform 51
• Pocket 
• Ref
"
109635-9479-14261,GF Creative Solutions,France - France,FR,75018,+33142572602,http://gfcreativesolutions.com/contact/,,
109655-2282-10103,African Aura Mining Inc,England,,WC2E 7LJ,020 7257 2930,http://www.african-aura.com/s/Home.asp,,
109673-7038-11167,Hill and Knowlton (Singapore),,,,+65 6338 2881,,,
109696-2695-7215,Maerks Oil UK,,,,,,,
109712-1721-5187,Haggie Partners,,,EC3V 3NB,0207 417 8989,www.haggie.co.uk,,
109720-6637-15113,Information Builders,England,,UB8 1QG,08456588484,,,
109811-9661-13247,SPi Healthcare,USA - East,, IL 60487,1-708-342-6900,,,
109889-5861-16326,RecieptBank,,,,,,,
109898-1816-697,Tsunami,,,W1T 6AZ,020 7387 0200,www.dec.org.uk,,"Description: The DEC was created in 1963. It brings together a unique alliance of the UK's aid, corporate, public and broadcasting sectors to rally the nation's compassion, and ensure that funds raised go to DEC agencies best placed to deliver effective and timely relief to people most in need. 

Mission

The DEC unites the leading independent humanitarian agencies in the United Kingdom in their efforts to maximise income from the people across the UK to mount an effective humanitarian response to major disasters overseas

"
109995-1440-13115,APPs Panel,Paris,,,+330183642541,www.appspanel.com,,
110090-8085-686,Search recruitment,,,,01293 848 100,http://www.search.co.uk,,
110112-1686-13197,Odeon & UCI Cinemas Group,England,,,0800 138 3315 ,,,
110113-1348-15140,Wieden & Kennedy Sao Paulo,Brazil,,CEP 05443-000,+55113937-9400,,,
110255-3950-1283,TBWA Raad (Egypt),Egypt,,,002 02 330 44 166,,,
110295-6333-1465,Chariots and Cherry Pie Diner and Car Spa,England,,,,,,
110375-3385-12277,AKDV,France,,92110,+33155905260,http://www.akdv.fr/,,
110612-4093-13259,Wolters Kluwer Health 2,USA,US,19002,,http://www.wolterskluwerhealth.com/pages/welcome.aspx,,
110992-7557-1678,Six3 Video,"London, United Kingdom",,,,,,
111122-7980-14295,Kenzo UK Ltd,England - France,FR,WC1R 5EF,02074918469,www.kenzo.com,,
111390-3621-1678,Her,"London, United Kingdom",,,,,,
111433-1545-1230,M&C Saatchi Shanghai,China,, 200020 ,86 21 6267 3183,,,
111618-8289-12347,Brandon,,,,,,,
111760-2095-1535,Top profils Internationaux,France - France,FR,75008,02076321418,,,
111849-8534-12216,Conservative Middle East Council,England,,,0207 340 6009,,,
111890-6410-14279,Fiat Chrysler Automobiles,France - France,FR,78190,+33130167000,,,
111904-7055-950,Porter Novelli Singapore,,,,65 66714700,http://www.porternovelli.com.sg,,
111920-4766-1268,Edelman Significa (Brazil),Brazil,,,+55 11 3146 0990,,,
111930-5335-8109,Technology PR 2,,,,,,,
111981-6951-1599,Corp Com,France,,x,x,,,
112154-7638-6307,J M Loveridge Plc,,,,,http://www.jmloveridge.com,,
112164-8815-6264,Hilton Hotel Group,,,WD24 4QQ,0207 850 4000,www.hilton.co.uk,,
