position-title,job_no,cli_no,Cont_externalID,position-startDate,position-type,position-owner,position-headcount,position-note,position-actualSalary,salary_to,position_currency,position-contractLength,position-payRate
Broker Consultant,148,28,-99928,22-Sep-2004,PERMANENT,GD ,1,"External_ID: 148
Job Status: FILLED
Status_Date: 2004-12-07
Benefits: ",18000,32000,Sterling,1,F
Corporate Pensions Consultant,151,24,1112,27-Sep-2004,PERMANENT,GD ,1,"External_ID: 151
Job Status: STOP
Status_Date: 2005-06-28
Benefits: ",25000,35000,Sterling,1,F
IFA,152,75,1113,27-Sep-2004,PERMANENT,JW ,10,"External_ID: 152
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",350000,45000,Sterling,1,F
IFA,153,76,-99976,28-Sep-2004,PERMANENT,JW ,10,"External_ID: 153
Job Status: FILLED
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
Telephone Based Consultant,154,25,-99925,1-Oct-2004,PERMANENT,GD ,1,"External_ID: 154
Job Status: FILLED
Status_Date: 2005-03-10
Benefits: ",18000,20000,Sterling,1,F
IFA,155,77,1148,1-Oct-2004,PERMANENT,JW ,10,"External_ID: 155
Job Status: FILLED
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
IFA,156,78,1126,1-Oct-2004,PERMANENT,JW ,1,"External_ID: 156
Job Status: LOST
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
IFA,157,79,1127,1-Oct-2004,PERMANENT,JW ,10,"External_ID: 157
Job Status: LOST
Status_Date: 2006-10-05
Benefits: ",25000,35000,Sterling,1,F
Broker Consultant,159,80,1132,5-Oct-2004,PERMANENT,GD ,1,"External_ID: 159
Job Status: FILLED
Status_Date: 2005-01-05
Benefits: ",18000,23000,Sterling,1,F
IFA,160,81,1133,5-Oct-2004,PERMANENT,JW ,10,"External_ID: 160
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",26000,32000,Sterling,1,F
Senior Broker Consultant,161,28,890,12-Oct-2004,PERMANENT,GD ,1,"External_ID: 161
Job Status: STOP
Status_Date: 2005-03-10
Benefits: ",28000,35000,Sterling,1,F
IFA,162,1382,2736,13-Oct-2004,PERMANENT,JW ,10,"External_ID: 162
Job Status: LOST
Status_Date: 2006-10-05
Benefits: ",25000,30000,Sterling,1,F
Sales Manager,163,1382,119,13-Oct-2004,PERMANENT,JW ,10,"External_ID: 163
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",350000,45000,Sterling,1,F
Training Manager,164,438,-999438,15-Oct-2004,PERMANENT,JW ,10,"External_ID: 164
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",36000,40000,Sterling,1,F
Trustee Consultant,167,84,-99984,19-Oct-2004,PERMANENT,GD ,1,"External_ID: 167
Job Status: FILLED
Status_Date: 2005-01-18
Benefits: ",30000,30000,Sterling,1,F
IFA (Mortgage),168,85,-99985,19-Oct-2004,PERMANENT,JW ,1,"External_ID: 168
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
Broker Consultant,169,25,-99925,19-Oct-2004,PERMANENT,GD ,1,"External_ID: 169
Job Status: STOP
Status_Date: 2005-05-16
Benefits: ",24000,32000,Sterling,1,F
IFA,170,86,1182,22-Oct-2004,PERMANENT,JW ,10,"External_ID: 170
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
Professional Connections Manager,171,438,1194,29-Oct-2004,PERMANENT,JW ,1,"External_ID: 171
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
Business Development Manager,172,438,-999438,29-Oct-2004,PERMANENT,JW ,1,"External_ID: 172
Job Status: FILLED
Status_Date: 2005-01-14
Benefits: ",35000,45000,Sterling,1,F
Broker Consultant,174,88,1207,1-Nov-2004,PERMANENT,GD ,1,"External_ID: 174
Job Status: FILLED
Status_Date: 2004-11-29
Benefits: Car Allowance £400, PMI, PHI, Group Life",30000,30000,Sterling,1,F
Broker Consultant,175,55,-99955,1-Nov-2004,PERMANENT,GD ,1,"External_ID: 175
Job Status: STOP
Status_Date: 2004-12-13
Benefits: ",0,0,Sterling,1,F
Senior Broker Consultant,176,54,793,1-Nov-2004,PERMANENT,GD ,1,"External_ID: 176
Job Status: STOP
Status_Date: 2005-01-14
Benefits: ",22000,28000,Sterling,1,F
Senior Broker Consultant,177,27,-99927,2-Nov-2004,PERMANENT,GD ,1,"External_ID: 177
Job Status: FILLED
Status_Date: 2004-11-15
Benefits: ",30000,35000,Sterling,1,F
Broker Consultant -Speculative NE,178,13,1064,2-Nov-2004,PERMANENT,GD ,1,"External_ID: 178
Job Status: STOP
Status_Date: 2005-04-11
Benefits: ",24000,29000,Sterling,1,F
Senior Broker Consultant,179,33,-99933,4-Nov-2004,PERMANENT,GD ,1,"External_ID: 179
Job Status: FILLED
Status_Date: 2004-11-24
Benefits: ",28000,35000,Sterling,1,F
Telephone Based Broker Consultant,180,27,-99927,8-Nov-2004,PERMANENT,GD ,1,"External_ID: 180
Job Status: FILLED
Status_Date: 2004-11-17
Benefits: ",20000,20000,Sterling,1,F
Senior Broker Consultant,181,27,-99927,9-Nov-2004,PERMANENT,GD ,1,"External_ID: 181
Job Status: STOP
Status_Date: 2004-11-17
Benefits: ",29000,33000,Sterling,1,F
Senior Broker Consultant,182,33,-99933,17-Nov-2004,PERMANENT,GD ,1,"External_ID: 182
Job Status: FILLED
Status_Date: 2005-04-14
Benefits: ",28000,35000,Sterling,1,F
IFA,183,89,1259,18-Nov-2004,PERMANENT,JW ,1,"External_ID: 183
Job Status: STOP
Status_Date: 2009-07-16
Benefits: ",35000,40000,Sterling,1,F
IFA,184,438,-999438,19-Nov-2004,PERMANENT,JW ,10,"External_ID: 184
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
EB Consultant,185,1268,977,22-Nov-2004,PERMANENT,JW ,1,"External_ID: 185
Job Status: STOP
Status_Date: 2009-07-16
Benefits: ",0,0,Sterling,1,F
Corporate Pensions Consultant,186,24,812,22-Nov-2004,PERMANENT,GD ,1,"External_ID: 186
Job Status: FILLED
Status_Date: 2004-11-29
Benefits: ",35000,0,Sterling,1,F
IFA,187,92,1273,23-Nov-2004,PERMANENT,JW ,1,"External_ID: 187
Job Status: STOP
Status_Date: 2006-10-05
Benefits: 60/40 Split + Paraplanner Costs",0,0,Sterling,1,F
IFA,189,93,-99993,24-Nov-2004,PERMANENT,JW ,10,"External_ID: 189
Job Status: FILLED
Status_Date: 2006-10-05
Benefits: ",35000,65000,Sterling,1,F
Broker Consultant,190,28,-99928,24-Nov-2004,PERMANENT,GD ,1,"External_ID: 190
Job Status: FILLED
Status_Date: 2005-04-11
Benefits: ",21000,24000,Sterling,1,F
Broker Consultant,191,55,-99955,25-Nov-2004,PERMANENT,GD ,1,"External_ID: 191
Job Status: STOP
Status_Date: 2004-12-13
Benefits: ",25000,30000,Sterling,1,F
Senior Broker Consultant,192,27,-99927,25-Nov-2004,PERMANENT,GD ,1,"External_ID: 192
Job Status: FILLED
Status_Date: 2005-02-24
Benefits: ",24000,33000,Sterling,1,F
Broker Consultant - Speculative Manc,193,13,-99913,25-Nov-2004,PERMANENT,GD ,1,"External_ID: 193
Job Status: STOP
Status_Date: 2005-02-24
Benefits: ",24000,28000,Sterling,1,F
Senior Broker Consultant,194,49,5339,29-Nov-2004,PERMANENT,GD ,1,"External_ID: 194
Job Status: STOP
Status_Date: 2005-02-24
Benefits: Car Allowance & Pension & Health Care",25000,35000,Sterling,1,F
Recruitment Consultant,195,94,1302,6-Dec-2004,PERMANENT,GD ,1,"External_ID: 195
Job Status: STOP
Status_Date: 2005-01-05
Benefits: ",0,0,Sterling,1,F
Sales Manager,198,27,-99927,9-Dec-2004,PERMANENT,GD ,1,"External_ID: 198
Job Status: FILLED
Status_Date: 2004-12-15
Benefits: ",45000,50000,Sterling,1,F
IFA,199,95,1566,15-Dec-2004,PERMANENT,AB ,1,"External_ID: 199
Job Status: STOP
Status_Date: 2009-08-18
Benefits: ",30000,45000,Sterling,1,F
IFA,200,72,954,15-Dec-2004,PERMANENT,JW ,10,"External_ID: 200
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
Pensions Consultant,201,96,1252,16-Dec-2004,PERMANENT,JW ,1,"External_ID: 201
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
Broker Consultant,203,33,-99933,17-Dec-2004,PERMANENT,GD ,1,"External_ID: 203
Job Status: FILLED
Status_Date: 2005-01-26
Benefits: ",30000,34000,Sterling,1,F
Tax & Trusts Specialist,204,33,1354,17-Dec-2004,PERMANENT,GD ,1,"External_ID: 204
Job Status: STOP
Status_Date: 2005-06-28
Benefits: ",40000,45000,Sterling,1,F
Broker Consultant - Speculative,205,25,-99925,20-Dec-2004,PERMANENT,GD ,1,"External_ID: 205
Job Status: STOP
Status_Date: 2005-05-26
Benefits: ",28000,34000,Sterling,1,F
OffShore Specialist,207,13,-99913,23-Dec-2004,PERMANENT,GD ,1,"External_ID: 207
Job Status: FILLED
Status_Date: 2005-02-21
Benefits: ",35000,45000,Sterling,1,F
Development Manager,208,49,-99949,4-Jan-2005,PERMANENT,GD ,1,"External_ID: 208
Job Status: STOP
Status_Date: 2005-02-16
Benefits: ",28,33,Sterling,1,F
Branch Manager,210,13,741,7-Jan-2005,PERMANENT,GD ,1,"External_ID: 210
Job Status: FILLED
Status_Date: 2005-02-21
Benefits: ",45000,52000,Sterling,1,F
IFA,211,497,1366,7-Jan-2005,PERMANENT,JW ,1,"External_ID: 211
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
Broker Consultant,212,28,-99928,10-Jan-2005,PERMANENT,GD ,1,"External_ID: 212
Job Status: FILLED
Status_Date: 2005-08-03
Benefits: ",24000,28000,Sterling,1,F
IFA,214,98,1375,11-Jan-2005,PERMANENT,JW ,1,"External_ID: 214
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
Broker Consultant,215,49,-99949,11-Jan-2005,PERMANENT,GD ,1,"External_ID: 215
Job Status: FILLED
Status_Date: 2005-05-10
Benefits: ",30000,35000,Sterling,1,F
Senior Broker Consultant,217,27,1386,13-Jan-2005,PERMANENT,GD ,1,"External_ID: 217
Job Status: FILLED
Status_Date: 2005-03-04
Benefits: ",28000,32000,Sterling,1,F
Regional Sales Manager,218,20,-99920,17-Jan-2005,PERMANENT,GD ,1,"External_ID: 218
Job Status: FILLED
Status_Date: 2005-04-06
Benefits: ",40000,45000,Sterling,1,F
Investment Portfolio Manager,225,34,-99934,28-Jan-2005,PERMANENT,GD ,1,"External_ID: 225
Job Status: FILLED
Status_Date: 2005-02-17
Benefits: ",30000,35000,Sterling,1,F
Broker Consultant,226,19,-99919,1-Feb-2005,PERMANENT,GD ,1,"External_ID: 226
Job Status: FILLED
Status_Date: 2005-04-28
Benefits: ",24000,28000,Sterling,1,F
Pension & Investment Manager,227,69,1453,1-Feb-2005,PERMANENT,JW ,1,"External_ID: 227
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",35000,45000,Sterling,1,F
Senior Consultant BHM,228,24,-99924,2-Feb-2005,PERMANENT,GD ,1,"External_ID: 228
Job Status: FILLED
Status_Date: 2006-02-23
Benefits: ",28000,35000,Sterling,1,F
Financial Planning Manager,229,93,1469,3-Feb-2005,PERMANENT,JW ,1,"External_ID: 229
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
IFA,231,1382,1473,4-Feb-2005,PERMANENT,JW ,1,"External_ID: 231
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
FPM,232,93,1474,7-Feb-2005,PERMANENT,JW ,1,"External_ID: 232
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
Financial Planning Manager,234,93,1279,9-Feb-2005,PERMANENT,JW ,1,"External_ID: 234
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",35000,45000,Sterling,1,F
Broker Consultant,235,13,1064,10-Feb-2005,PERMANENT,GD ,1,"External_ID: 235
Job Status: FILLED
Status_Date: 2005-04-11
Benefits: ",25000,30000,Sterling,1,F
Paraplanner,236,930,1548,14-Feb-2005,PERMANENT,JW ,1,"External_ID: 236
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
Senior Broker Consultant,237,27,-99927,15-Feb-2005,PERMANENT,GD ,1,"External_ID: 237
Job Status: STOP
Status_Date: 2005-08-03
Benefits: ",24000,32000,Sterling,1,F
