company-externalId,client_id,company-name,company-phone,company-website,company-locationAddress,company-locationCity,company-locationState,company-locationZipCode,company-locationCountry,company-locationName,company-document,insert_timestamp,company-owners,company-note
40504,1093630,CACI 2,0207 602 6000,www.caci.co.uk,"CACI House, Kensington Village",London,,W14 8TS,,London,48474.html,02/06/2008 18:08:59,Eric@initi8recruitment.com ,"ID: 1093630
Status: Incomplete
Created By: Eric Thwaite
Last Updated: 2008-06-03
By: Eric Thwaite
Contract: Eric Thwaite
"
40505,1093631,CACI 3,0207 602 6000,www.caci.co.uk,"CACI House, Kensington Village",London,,W14 8TS,,London,,02/06/2008 18:09:09,Eric@initi8recruitment.com ,"ID: 1093631
Status: Incomplete
Created By: Eric Thwaite
Last Updated: 2008-06-03
By: Eric Thwaite
Contract: Eric Thwaite
"
40506,1093632,CACI 4,0207 602 6000,www.caci.co.uk,"CACI House, Kensington Village",London,,W14 8TS,,London,,02/06/2008 18:09:10,Eric@initi8recruitment.com ,"ID: 1093632
Status: Incomplete
Created By: Eric Thwaite
Last Updated: 2008-06-03
By: Eric Thwaite
Contract: Eric Thwaite
"
40507,1093633,CACI 5,0207 602 6000,www.caci.co.uk,"CACI House, Kensington Village",London,,W14 8TS,,London,,02/06/2008 18:09:10,Eric@initi8recruitment.com ,"ID: 1093633
Status: Incomplete
Created By: Eric Thwaite
Last Updated: 2008-06-03
By: Eric Thwaite
Contract: Eric Thwaite
"
40508,1093634,CACI 6,0207 602 6000,www.caci.co.uk,"CACI House, Kensington Village",London,,W14 8TS,,London,,02/06/2008 18:09:10,Eric@initi8recruitment.com ,"ID: 1093634
Status: Incomplete
Created By: Eric Thwaite
Last Updated: 2008-06-03
By: Eric Thwaite
Contract: Eric Thwaite
"
40509,1093635,CACI 7,0207 602 6000,,Kensington Village,London,,W14 8TS,,London,,02/06/2008 18:12:21,Eric@initi8recruitment.com ,"ID: 1093635
Status: Incomplete
Created By: Eric Thwaite
Last Updated: 2008-06-03
By: Eric Thwaite
Contract: Eric Thwaite
"
40511,1093636,CACI 8,0207 602 6000,,Kensington Village,London,,W14 8TS,,London,,02/06/2008 18:13:18,Eric@initi8recruitment.com ,"ID: 1093636
Status: Incomplete
Created By: Eric Thwaite
Last Updated: 2008-06-03
By: Eric Thwaite
Contract: Eric Thwaite
"
40513,1093637,CACI 9,0207 602 6000,,Kensington Village,London,,W14 8TS,,London,,02/06/2008 18:13:21,Eric@initi8recruitment.com ,"ID: 1093637
Status: Incomplete
Created By: Eric Thwaite
Last Updated: 2008-06-03
By: Eric Thwaite
Contract: Eric Thwaite
"
40515,1093638,CACI 10,0207 602 6000,,Kensington Village,London,,W14 8TS,,London,,02/06/2008 18:14:08,Eric@initi8recruitment.com ,"ID: 1093638
Status: Incomplete
Created By: Eric Thwaite
Last Updated: 2008-06-03
By: Eric Thwaite
Contract: Eric Thwaite
"
40549,1093639,test 3,,,test street,worthing,,,,worthing,,03/06/2008 11:16:16,Eric@initi8recruitment.com ,"ID: 1093639
Status: Incomplete
Created By: Eric Thwaite
Last Updated: 2008-06-03
By: Eric Thwaite
Contract: Eric Thwaite
"
40560,1093640,Clear Cell,02031 595 407,www.clearcellgroup.co.uk,33 Glasshouse Street,London,,W1B 5DG,,London,,03/06/2008 13:02:31,Eric@initi8recruitment.com ,"ID: 1093640
Status: Incomplete
Created By: Eric Thwaite
Last Contacted: 2012-03-15
By: Sam King
Last Updated: 2017-01-18
By: Sam Covey
Last Perm Job: 2012-03-15
Managed By: Sam King
Contract: Eric Thwaite
"
40567,1093641,News Group,020 77 82 6000(3),,1 Virginia Street,London,,e98 1th,GB,"London, UNITED KINGDOM",,03/06/2008 14:38:04,Eric@initi8recruitment.com ,"ID: 1093641
Status: Active
Created By: Eric Thwaite
Last Contacted: 2015-10-30
By: Timothy McAllister
Last Updated: 2016-07-29
By: Sam Covey
Last Perm Job: 2013-04-30
Managed By: Jonathan Boyes
Last Contract Job: 2015-10-30
Managed By: Timothy McAllister
Contract: Eric Thwaite
"
40587,1093642,Publicis Chemistry,02079354426,,82 Baker St ,london,,W1U 6AE,GB,"london, UNITED KINGDOM",,03/06/2008 16:45:39,Eric@initi8recruitment.com ,"ID: 1093642
Status: Active
Created By: Eric Thwaite
Source: 8249263
Last Contacted: 2015-05-12
By: Timothy McAllister
Last Updated: 2018-08-21
By: Karen Hellier
Last Perm Job: 2015-05-05
Managed By: Eric Thwaite
Last Contract Job: 2015-05-12
Managed By: Timothy McAllister
Contract: Eric Thwaite
"
40715,1093643,ERIC THWAITE,,,ERIC,ERIC,,,,ERIC,,04/06/2008 14:10:59,Eric@initi8recruitment.com ,"ID: 1093643
Status: Incomplete
Created By: Eric Thwaite
Last Contacted: 2008-06-04
By: Eric Thwaite
Last Updated: 2011-05-25
By: Jerome Marks
Last Perm Job: 2008-06-04
Managed By: Eric Thwaite
Contract: Eric Thwaite
"
40740,1093644,LGT Group,+41 61 277 5600,,Utoquai 55,CH-8034,,,CH,"CH-8034, SWITZERLAND",,04/06/2008 14:41:25,Stephen@initi8recruitment.com ,"ID: 1093644
Status: Incomplete
Source: 8249262
Last Contacted: 2013-12-20
By: Annahita Lagevardi
Last Updated: 2016-07-26
By: Karen Hellier
Last Perm Job: 2008-06-13
Contract: Stephen Hellier

General Notes: 
CREATED DATE: Jun 16 2008  5:05PM
27.11.13 - This Bank is called LGT Bank (Schweiz) AG not L-T-G.

02.12.13 - Having technical difficulties getting through at LGT - asked Mr. Maier to call me back at reception.

03.12.13 - LGT's IT department is based in Basel.

16.12.13 - Going to try Mr. Maier again post lunch.

19.12.13 - Mr. Willi was not at his desk try again later.

20.12.13 - Mr. Maier will be back on January 3rd.


"
40773,1093645,Swiss Life AG,+41 43 284 3797,,General-Guisan-Quai 40,Zurich,,8022,CH,"Zurich, SWITZERLAND",,04/06/2008 15:00:43,Stephen@initi8recruitment.com ,"ID: 1093645
Status: Incomplete
Last Contacted: 2013-12-06
By: Annahita Lagevardi
Last Updated: 2016-07-25
By: Sam Covey
Last Perm Job: 2009-01-13
Contract: Stephen Hellier

General Notes: 
CREATED DATE: Jul 22 2008  4:12PM


17.10.13 - Ms Pfaffhauser no longer works here. Going to try Mr. Jegge again later.

21.11.13 - Mr. Jegge is not available today - call back tomorrow.

06.12.13 - New company number noted.

20.12.13 - Mr. Jegge & Ms Cios both temporarily unavailable - try again later, DDials noted.


"
40799,1093646,Investec Bank,+41 44 226 1000,,Loewenstrasse 29,Zurich,,8001 ,CH,"Zurich, SWITZERLAND",,04/06/2008 15:19:49,Stephen@initi8recruitment.com ,"ID: 1093646
Status: Incomplete
Source: 8249263
Last Contacted: 2013-12-03
By: Annahita Lagevardi
Last Updated: 2016-07-23
By: Karen Hellier
Last Perm Job: 2012-07-26
Managed By: Stephen Hellier
Contract: Stephen Hellier

General Notes: 
CREATED DATE: Oct 10 2013  1:18PM
10.10.13 - Spoke to Ms Loughrin, who mentioned that recruitment had finished in May. She agreed that I send over my details.

23.10.13 - Mr. Gurtner is not in today, but the correct spokesperson reg. recruitment.

21.11.13 - Reception isn't familiar w. Mr. Akguel.

22.11.13 - A Frederik Boman is now the Head of IT - call!

27.11.13 - Mr. Boman is not in the office today.


"
40810,1093647,"UBS, Zurich",+41 44 234 1111,,Albisriederplatz 8,Zürich,,8004,CH,"Zürich, Switzerland",,04/06/2008 15:37:33,Stephen@initi8recruitment.com ,"ID: 1093647
Status: Incomplete
Source: 8249263
Last Contacted: 2016-04-29
By: Danielle Green
Last Updated: 2016-04-29
By: Danielle Green
Last Perm Job: 2011-02-17
Managed By: Chris Murphy
Last Contract Job: 2012-08-09
Managed By: Stephen Hellier
Contract: Stephen Hellier
"
40814,1093648,Man Investments AG,+41 55 417 6000,,Etzelstrasse 27,Pfäffikon SZ,,8808,CH,"Pfäffikon SZ, SWITZERLAND",,04/06/2008 15:43:30,Stephen@initi8recruitment.com ,"ID: 1093648
Status: Lead
Source: 8249263
Last Contacted: 2015-06-12
By: Timothy McAllister
Last Updated: 2016-07-27
By: Karen Hellier
Last Perm Job: 2010-04-28
Managed By: Danielle Green
Last Contract Job: 2010-10-25
Managed By: Chris Murphy
Contract: Stephen Hellier

General Notes: 
CREATED DATE: Jun 20 2008 11:28AM
18.10.13 - Spoke to Ms Rohner, who was kind & helpful: She mentioned that the IT dep. in CH had considerably shrunk to circ. 10 employees (system dev. & service desk specialists) - with no need for placements currently. Both perm & contr. positions are advertised on the company website & they are happy for us to send CVs over in response to these.


"
40854,1093649,KINDRED,020 8545 8021,www.unibet.com,"kindred house, 17 hartfield rd",London,,SW19 3SE,GB,"London, UNITED KINGDOM",,04/06/2008 16:02:58,Stephen@initi8recruitment.com ,"ID: 1093649
Status: Active
Created By: Eric Thwaite
Last Contacted: 2019-04-18
By: Max Petch
Last Visited: 2010-07-20
By: Louise Rowson
Last Updated: 2019-04-18
By: Max Petch
Last Perm Job: 2018-11-22
Managed By: Stephen Hellier
Last Contract Job: 2018-03-09
Managed By: Stephen Hellier
Contract: Stephen Hellier

General Notes: 
CREATED DATE: Oct 13 2008  3:18PM
Portal: https://ea1.earcu.com/Unibet/agency/login (username: louise@initi8recruitment.com, Password: Initi8recruitment) 

Bwin is Unibet's main competitor! (Foxybingo, Partypoker etc)
Exclusivity for first 2 weeks.
Benefits:
€¢Life assurance
€¢Income protection
€¢Childcare vouchers
€¢Ride to work
€¢Private Medical Insurance (Prudential)
€¢EAP
€¢Eye tests
€¢25 days holiday

Fees are as follows;
0 €“ 45k = £5,400
45-55    = £6,700
55 +        = £7800

Rebate is STRICT:
1 month   = 100%
2 months =  90 %
3months  =  70 %
4 months  = 55%
5 months  = 40%
6 months  = 20%
4months

**Unibet are getting rid of the OPQ HR Personality Test and replacing it with the Drake P3 test- 9www.drakeintl.com/dimsum/)3 sections with 10-15 questions, can do it in candidates own language and a summary is produced upon submittal of results so we'll get a good idea of how candidates have come across.Also Liam is now doing all HR interviews in replacement of Curt.

**Format for sending CV's: Name of the candidate & the vacancy they relate to in the email subject header... just a simple sentence in the main email: ""hi Liam, please find attached XX's CV for the X vacancy, looking forward to earing your feedback""... you MUST use their agency coversheet found on our E drive and copy and paste CV below it.

"
41144,1093650,Falcon Private Bank,+41 44 227 5555,,Pelikanstrasse 37,Zurich,,8021,CH,"Zurich, SWITZERLAND",,05/06/2008 08:34:24,Stephen@initi8recruitment.com ,"ID: 1093650
Status: Incomplete
Last Contacted: 2013-11-25
By: Annahita Lagevardi
Last Updated: 2016-07-11
By: Karen Hellier
Last Perm Job: 2013-06-21
Managed By: Gurdeep Singh
Contract: Stephen Hellier

General Notes: 
CREATED DATE: Oct 10 2013  2:06PM
10.10.13 - Spoke to Jasmin Demuth - no roles, but asked to send details.

14.10.13 - Mr. Andri does not work here anymore.

21.10.13 - Limited roles advertised on website - Ms Stefanie Albrecht has allowed us access to these (mostly perm). Correct contact person is Rene Flueck.

22.10.13 - Spoke to Mr. Flueck, who was ok, mentioning that there are no vacancies atm - but passed me on to Mr. Frehner who is the correct point of contact for IT. Called Mr. Frehner, who is just back from hols - call scheduled Fri.

30.10.13 - Spoke to Mr. Frehner who does not have roles but will send word when things pick up again.

23.12.13 - Polite reception: Ms Demuth was in today, but away at meetings now. It is worth calling tomorrow - she may be in.


"
41482,1093651,Aargauischen Kantonalbank (AKB),+41 62 835 7777,,Bahnhofplatz 1,5001 Aarau ,,,CH,"5001 Aarau , SWITZERLAND",,06/06/2008 09:01:56,Stephen@initi8recruitment.com ,"ID: 1093651
Status: Incomplete
Last Contacted: 2015-02-18
By: Lawrence Donnelly
Last Updated: 2016-07-30
By: Karen Hellier
Contract: Stephen Hellier

General Notes: 
CREATED DATE: Dec  4 2008  2:53PM
27.11.13 - Mr. Thuerig is hard to reach - reception will be hesitant to put you in touch.

29.11.13 - Reception is tight at this company, but have asked me to call again post lunch (13:00 GMT) as Mr. Thuerig was in a meeting.

02.12.13 - Mr. Thuerig is not verbally available - advised to email.

11.12.12 - Mr. Thuerig is available tomorrow from 09:00 GMT.

16.12.13 - Mr. Thuerig will only be available from 13:00 GMT.

23.12.13 - Try again post lunch.

17.12.13 - Mr. Thuerig is available from 14:30 today until about 16:00 GMT.


"
41484,1093652,BCGE,+41 (0)44 224 65 65,,Lintheschergasse 19,CH - 8021 Zurich,,,CH,"CH - 8021 Zurich, SWITZERLAND",,06/06/2008 09:04:43,Stephen@initi8recruitment.com ,"ID: 1093652
Status: Incomplete
Last Contacted: 2012-12-07
By: Christine Horak
Last Updated: 2012-12-07
By: Christine Horak
Contract: Stephen Hellier
"
41486,1093653,Anker Bank,,,Lintheschergasse 19 (8001 Zürich),Postfach,,8023,CH,"Postfach, SWITZERLAND",,06/06/2008 09:05:46,Stephen@initi8recruitment.com ,"ID: 1093653
Status: Incomplete
Last Updated: 2008-06-25
Contract: Stephen Hellier
"
41488,1093654,BHF Bank,+41 44 209 7511,,Postfach,Zurich,,8027 ,,Zurich,,06/06/2008 09:06:56,Stephen@initi8recruitment.com ,"ID: 1093654
Status: Active
Last Contacted: 2013-12-19
By: Annahita Lagevardi
Last Updated: 2016-06-23
By: Karen Hellier
Contract: Stephen Hellier

General Notes: 
CREATED DATE: Jun  6 2011  9:56AM
Lilan Dill is the prime contact - steve 06/06/11

09.10.13 - Spoke to Angelo Fent, who says that BHF have outsourced all of their IT to Autoservices Switzerland & won't be requiring hires until April'14.

27.11.13 - Mr. Fent was in a meeting - try again later - DD noted.

16.10.13 - Spoke to reception: Ms Dill now works at Oddo & Cie (+41 44 274 3600).

29.11.13 - It has been fully outsourced to Oddo Services (see above).


"
41492,1093655,XBank HoffmanX,,,Postfach,Zürich,,8022 ,CH,"Zürich, SWITZERLAND",,06/06/2008 09:58:12,Stephen@initi8recruitment.com ,"ID: 1093655
Status: Active
Last Updated: 2016-06-20
By: Karen Hellier
Contract: Stephen Hellier
"
41495,1093656,Bank Julius Bär & Co,+41 58 888 1111,,Postfach,Zürich-Mülligen,,8010,CH,"Zürich-Mülligen, SWITZERLAND",,06/06/2008 10:01:13,Stephen@initi8recruitment.com ,"ID: 1093656
Status: Active
Last Contacted: 2015-05-27
By: Lawrence Donnelly
Last Updated: 2016-06-20
By: Karen Hellier
Last Perm Job: 2008-06-06
Last Contract Job: 2013-11-22
Managed By: Annahita Lagevardi
Contract: Stephen Hellier

General Notes: 
CREATED DATE: Aug 11 2010  1:07PM
18.10.13 - Spoke to Josef Haider regarding Appl. Support roles & whom to contact concerning the job specs: David Galeczki is the Head of procurement and will be able to tell me how to get on JB's PSL.

21.10.13 - Mr. Galeczki was not available today. Email address noted.

01.11 13 - Trying to reach Galeczki in order to schedule interviews - he is working from home, email sent.


"
41622,1093657,Bank Morgan Stanley AG,+41 44 220 9111,,Postfach,Zurich,,8023 ,CH,"Zurich, SWITZERLAND",,06/06/2008 15:51:34,Stephen@initi8recruitment.com ,"ID: 1093657
Status: Lead
Last Contacted: 2015-03-17
By: Lawrence Donnelly
Last Updated: 2015-03-17
By: Lawrence Donnelly
Last Contract Job: 2013-02-06
Managed By: Gurdeep Singh
Contract: Stephen Hellier

General Notes: 
CREATED DATE: Oct 10 2013  3:56PM
10.10.13 - Spoke to Eric Manual, who was polite & approachable - stating that they had recently fully recruited & not requiring any support as such soon. His team generally recruits Top Support & Windows Support professionals.

21.10.13 - Contacts all unavailable! Sandra Bolfing (HR Generalist) no longer works here.

22.10.13 - Contacts added.

19.12.13 - Mr. Marra is still unavailable - email noted.


"
41655,1093658,Equifax,02072 983 000,,25 Chapel Street,London,,NW1 5DS,GB,"London, UNITED KINGDOM",,09/06/2008 12:40:51,Sara.Turkes@initi8recruitment.com,"ID: 1093658
Status: Active
Created By: Sam King
Source: 8249263
Last Contacted: 2013-03-25
By: Eric Thwaite
Last Updated: 2017-01-31
By: Sam Covey
Last Perm Job: 2013-03-25
Managed By: Eric Thwaite
Contract: Sara Turkes

General Notes: 
CREATED DATE: Aug 12 2008  4:22PM
Always need to people with credit cycle / risk life cycle experience / sas programming skills - wants upto 2/3 people now - Application / Recoveries etc / accept rates / knowledge of credit risk - On offer they get data no other company works with - heavy technical focus - 400+ million records they work on - dictate solutions - full proj life cycle delivery - diverse work

"
41659,1093659,test client 1,01903 707070,,2 Ely Place,Dublin,,,,Dublin,,09/06/2008 12:49:54,,"ID: 1093659
Status: Active
Created By: Bond 01
Last Contacted: 2016-01-22
By: Bond 02
Last Visited: 2013-01-24
By: Bond 01
Last Updated: 2016-08-01
By: Sam Covey
Last Perm Job: 2008-06-30
Managed By: Bond 01
Contract: Bond 01
"
41681,1093660,"Credit Suisse, Zurich",+41 44 333 1111,,"Uetlihof, Uetlibergstrasse 231",Zurich,Switzerland,8070,,"Zurich, Switzerland",,09/06/2008 14:32:04,Stephen@initi8recruitment.com ,"ID: 1093660
Status: Incomplete
Last Contacted: 2015-06-12
By: Matthew Mangan
Last Updated: 2016-06-30
By: Karen Hellier
Last Perm Job: 2010-08-11
Managed By: Stephen Hellier
Last Contract Job: 2011-10-21
Managed By: Chris Murphy
Contract: Stephen Hellier

General Notes: 
CREATED DATE: Jul 22 2008  4:51PM
10.10.13 - Boillat on holiday for next 2-3 weeks / Hitz out of office for 1 week.

16.10.13 - Spoke to Mr. Grazioli, a lovely man, who passed on his mobile number +41 (0)79 457 5661 - but stated that CS work strictly with PSL's & that all recruitment runs over procurement. He was unable to refer me - details sent over.

21.10.13 - Spoke to Mr. Strehler, who was pleasant: mentioned that the correct line of contact is a Ms Acali Gueltel? in procurement. Mr. Ninir was also very kind - told me to send over details & showed interest in being headhunted.

22.11.13 - Ninir asked me to call back next week, as he was currently in a meeting.

11.12.13 - Spoke & passed on to various persons: It seems CS rarely release roles & are likely to chose company selectively off their PSL in order to do so. The PSL itself is regulated over suply management - going to contact Ms Zou in order to discuss our current position, as we have not heard from CS in ages.

11.12.13 - Spoke to the most delightful Mr. Frithjof-Alexander Zimmermann who no longer works in supply: He passed on the names of Urs Leu / Jan Latussek / Felix Wethsmueller who should be approachable regarding recruitment in IT. He did note however, that due to shrinkage, it may be difficult to attain roles in future (CS are expanding in Poland, but the CH office is reducing in size).

23.12.13 - Various contacts unavailable due to the Xmas break.


"
41803,1093661,Coutts & Co.,+41 43 245 5111,,Stauffacherstrasse 1,Zürich,,8004,CH,"Zürich, SWITZERLAND",50322.html,10/06/2008 17:32:35,Stephen@initi8recruitment.com ,"ID: 1093661
Status: Active
Source: 8249263
Last Contacted: 2018-09-20
By: Eric Thwaite
Last Updated: 2018-09-20
By: Eric Thwaite
Last Perm Job: 2008-06-10
Contract: Stephen Hellier

General Notes: 
CREATED DATE: Feb 23 2009 11:08AM
14.10.14 - RBS Coutts is simply 'Coutts & Co' now: Spoke to Mr. Battran, who said that all internal positions (perm) run over HR & the company website - whilst all external positions (contr) run over procurement (Mr. Marchesan & Mr. Coletta). Stefan Krauss no longer works at RBS.

17.10.13 - Mr. Marchesan & Mr. Coletta are both in a meeting - asked to write an email or call Mr. Coletta later on.

22.10.13 - The above are still completely unattainable - given Mr. Coletta's email & asked to contact both post lunch (13:00 GMT) or first thing in the morning (08:00 GMT). Ms. Arter is still completely unattainable - will email.

23.10.13 - Spoke to Mr. Marchesan about getting on PSL - call scheduled next week.

30.10.13 - Spoke to Mr. Marchesan who said that due to the outsourcing of IT, Coutts have adopted a strict policy of avoiding recruitment. He will send me his details however & let me know if he personally requires any help in future.

27.11.13 - Mr. Coletta is on sick leave - hard to say when he will be back.

03.12.13 - Going to try for Mr. Battran again post lunch.

11.12.13 - No roles currently available on web.

23.12.13 - Coutts is closed until January 6th - but can try again later in the day.


"
41806,1093662,Bank Leumi (Schweiz) AG,+41 44 215 1900,,Claridenstrasse 34,zurich,,8002,,zurich,50325.html,10/06/2008 17:50:28,Stephen@initi8recruitment.com ,"ID: 1093662
Status: Active
Last Contacted: 2013-12-11
By: Annahita Lagevardi
Last Updated: 2016-06-21
By: Karen Hellier
Contract: Stephen Hellier

General Notes: 
CREATED DATE: Jun  6 2011 10:19AM




graham is the head of IT and the man to talk to-Steve H 06/06/11

15.10.13 - Spoke to Ryan Darch, who is happy to work with us, though there are no roles currently available. We exchanged details and he specified a desire for T24 (Terminocity) qualified candidates.

27.11.13 - Mr. Darch is back on Dec 6th.


"
41808,1093663,Morgan Stanley,,,Bahnhofstrasse 92,Zurich,,8001,CH,"Zurich, SWITZERLAND",50327.html,10/06/2008 17:52:59,Stephen@initi8recruitment.com ,"ID: 1093663
Status: Incomplete
Last Updated: 2008-06-25
Contract: Stephen Hellier
"
41811,1093664,Morgan Stanley 2,,,Bahnhofstrasse 92,Zurich,,8001,CH,"Zurich, SWITZERLAND",50330.html,10/06/2008 17:54:48,Stephen@initi8recruitment.com ,"ID: 1093664
Status: Incomplete
Last Updated: 2008-06-25
Contract: Stephen Hellier
"
41813,1093665,Bank Sal. Oppenheim,,,Uraniastrasse 28,Zurich,,,CH,"Zurich, SWITZERLAND",50332.html,10/06/2008 17:56:16,Stephen@initi8recruitment.com ,"ID: 1093665
Status: Incomplete
Last Contacted: 2013-01-30
By: Gurdeep Singh
Last Updated: 2016-06-21
By: Karen Hellier
Contract: Stephen Hellier
"
41815,1093666,Bank Thalwil,+41 44 723 8888 ,,Zurich,Zurich,,,CH,"Zurich, SWITZERLAND",50334.html,10/06/2008 17:59:11,Stephen@initi8recruitment.com ,"ID: 1093666
Status: Incomplete
Last Contacted: 2009-01-21
Last Updated: 2013-12-23
By: Annahita Lagevardi
Contract: Stephen Hellier

General Notes: 
CREATED DATE: Jan 16 2009  9:26AM
27.11.13 - Mr. Willi was in a meeting - asked to call back at 13:00 GMT.

02.12.13 - Mr. Willi is out of house all week & will be hard to reach thereafter - requested to email.

03.12.13 - Mr. Willi will be hard to reach - will try again later.

04.12.13 - Finally got through to Mr. Willi, who hung up as soon as I mentioned I was a recruiter.

19.12.13 - Mr. Fuchs was engaged - try again later.

23.12.13 - The bank appears to be closed.


"
41817,1093667,Bank Vontobel AG,+41 58 283 5900,,Gotthardstrasse 43,Zurich,,8022,CH,"Zurich, Switzerland",50336.html,10/06/2008 18:00:53,Stephen@initi8recruitment.com ,"ID: 1093667
Status: Active
Last Contacted: 2009-01-16
Last Updated: 2016-06-21
By: Karen Hellier
Contract: Stephen Hellier

General Notes: 
CREATED DATE: Oct 17 2013  9:15AM
17.10.13 - Vontobel don't employ contractors anymore.

"
41958,1093668,George P Johnson,02088 792 200,,52 High St,Kingston upon Thames,,KT1 1HN,GB,"Kingston upon Thames, UNITED KINGDOM",50477.html,11/06/2008 16:55:14,Curtis.Reed@initi8recruitment.com,"ID: 1093668
Status: Active
Created By: Sam King
Source: 8249263
Last Updated: 2016-07-14
By: Karen Hellier
Contract: Curtis Reed
"
