company-externalId,,company-name,company-locationName,company-locationAddress,company-locationCity,company-locationState,company-locationCountry,company-locationZipCode,company-phone,company-fax,company-website,company-document,company-note
186,Yoma Bank,Yoma Bank 2,Yoma Bank-Myanmar,Yoma Bank-Myanmar,Yangon,,MM,,(+95) 1370091-95,,,78-co-doc.pdf,"BH Company ID:186
Date Added: 06-14-2015
Status: Active
"
300,Pun Hlaing Golf Estate,Pun Hlaing Golf Estate 2,Pun Hlaing Golf Estate-United States,Pun Hlaing Golf Estate-United States,,,US,,,,,,"BH Company ID:300
Date Added: 06-14-2015
Status: Archive
"
317,Ooredoo,Ooredoo 2,Ooredoo-United States,Ooredoo-United States,,,US,,,,,,"BH Company ID:317
Date Added: 06-14-2015
Status: Archive
"
320,Weatherford,Weatherford 2,Weatherford-United States,Weatherford-United States,,,US,,,,,,"BH Company ID:320
Date Added: 06-14-2015
Status: Archive
"
334,KBZ Bank,KBZ Bank 2,KBZ Bank-Myanmar,KBZ Bank-Myanmar,Yangon,,MM,,(+95) 1538075-6,,http://www.yangondirectory.com/en/categories-index/banks-private/62116-kbz-bank-kanbawza-bank-ltd-he,,"BH Company ID:334
Date Added: 06-14-2015
Status: Active
Ownership: Private
"
340,AGD Bank,AGD Bank 2,AGD Bank-Myanmar,AGD Bank-Myanmar,Yangon,,MM,,(+95) 1378521,,,,"BH Company ID:340
Date Added: 06-14-2015
Status: Active
Ownership: Private
Company Overview: AGD Bank [Asia Green Development Bank Ltd.][Head Office] is located in 73/75,Sule Pagoda Rd.,Lower Middle Block, Kyauktada township, Yangon, Myanmar. Company's main business category is Banks [Private].
This listing has 2 ads in 2015 printed Yangon Directory Yellow Pages.
This business information has been last modified in 2015-11-02. 

"
341,AYA Bank,AYA Bank 2,Mahabandoola,Mahabandoola,Yangon,,MM,,95 1-370500,,,,"BH Company ID:341
Date Added: 06-14-2015
Status: Active
Company Coverage: info@ayabank.com.mm
Twitter: +95 9 73040093
LinkedIn: +95 1 392070
"
349,PC Myanmar (Hong Kong) Limited,PC Myanmar (Hong Kong) Limited 2,PC Myanmar (Hong Kong) Limited-Myanmar,PC Myanmar (Hong Kong) Limited-Myanmar,Yangon,,MM,,(+95) 1525698,,,,"BH Company ID:349
Date Added: 06-14-2015
Status: Active
Ownership: Private
Company Overview: PC Myanmar (Hong Kong) Limited operates as a subsidiary of PETRONAS International Corporation Ltd.
"
411,Htoo Group of Companies,Htoo Group of Companies 2,Htoo Group of Companies-Myanmar,Htoo Group of Companies-Myanmar,Yangon,,MM,,(+95) 1500344,,http://www.htoo.com/,64-co-doc.pdf,"BH Company ID:411
Date Added: 06-14-2015
Status: Active
No. of Employees: Contingent
Ownership: Private
Company Overview: HTOO Trading Company Limited was established on January 7th, 1990 primarily logging and exporting timber.  Later the company involved in the export of rice beans and pulses.

The rapid success of the trading business lead to diversification of investments in construction, logistics, production & manufacturing, mining & exploration.
After 2000, HTOO Group was getting more involved with consumer businesses such as Hotels – Resorts, Aviation, Entertainment, Financial Services, Sports & Entertainment and Zoos & Gardens, etc.

htoo_foundation_thumbHTOO Foundation was established in 2008 after the Cyclone Nargis devastated the Ayeyarwady Delta Region and active in social welfare, cultural & environmental preservation as well as emergency relief operations.

After transitioning to the Democratic Governance system, Myanmar opened up to the international community and the economy had been booming since.

HTOO Group plans not only to solidify the current ventures but also to continue to expand the portfolio of the group harnessing the nation-wide resources and also to expand into a regional organization in the near future.
"
478,Silk Road Finance,Silk Road Finance 2,Silk Road Finance-Myanmar,Silk Road Finance-Myanmar,Yangon,,MM,,(+95) 1544540,,http://silkroadfin.com/contact,,"BH Company ID:478
Date Added: 06-14-2015
Status: Active
Ownership: Private
"
537,Yangon City Development Committee,Yangon City Development Committee 2,Yangon City Development Committee-Myanmar,Yangon City Development Committee-Myanmar,Yangon,,MM,,(+95) 1556810,,http://www.ycdc.gov.mm/,,"BH Company ID:537
Date Added: 06-14-2015
Status: Active
Ownership: Government
"
562,Ooredoo Myanmar,Ooredoo Myanmar 2,Ooredoo Myanmar-Myanmar,Ooredoo Myanmar-Myanmar,Yangon,,MM,,(+95) 9970000234,,http://www.ooredoo.com.mm/mm/Personal/Plans.aspx,,"BH Company ID:562
Date Added: 06-14-2015
Status: Qualified Lead
Company Overview: Mingalabar Myanmar
Say hello to crystal clear HD calls and fast Internet for everyone in Myanmar! With great affordable rates, Ooredoo lets you connect with anyone you wish. And our network is growing every day, so that you can enjoy the most advanced 3G technology in more and more places in Myanmar.
"
569,Vriens & Partners,Vriens & Partners 2,Vriens & Partners-United States,Vriens & Partners-United States,,,US,,,,,,"BH Company ID:569
Date Added: 06-14-2015
Status: Archive
"
600,Telenor Myanmar,Telenor Myanmar 2,Telenor Myanmar-United States,Telenor Myanmar-United States,,,US,,,,,,"BH Company ID:600
Date Added: 06-14-2015
Status: Archive
"
695,Ericsson,Ericsson 2,Ericsson-United States,Ericsson-United States,,,US,,,,,,"BH Company ID:695
Date Added: 06-14-2015
Status: Active
"
697,British Chamber of Commerce Myanmar,British Chamber of Commerce Myanmar 2,British Chamber of Commerce Myanmar-Myanmar,British Chamber of Commerce Myanmar-Myanmar,Yangon,,MM,,,,http://www.britishchambermyanmar.com/,,"BH Company ID:697
Date Added: 06-14-2015
Status: Active
Ownership: Government
"
945,Allen & Overy,Allen & Overy 2,Allen & Overy-United States,Allen & Overy-United States,,,US,,,,,,"BH Company ID:945
Date Added: 06-14-2015
Status: Archive
"
962,Schlumberger,Schlumberger 2,"No.33C/35, Pyay Rd,","No.33C/35, Pyay Rd,",Yangon,,MM,,(+95) 12303813/5813,,http://www.slb.com/contact_us/geographical/mea/tmg.aspx,,"BH Company ID:962
Address 2: 7 1/2 Mile, Mayangone
Date Added: 06-14-2015
Status: Active
Ownership: Private
"
1076,Fraser & Neave Limited,Fraser & Neave Limited 2,Fraser & Neave Limited-Singapore,Fraser & Neave Limited-Singapore,,,SG,,(+65) 63189393,,http://www.fraserandneave.com/,,"BH Company ID:1076
Date Added: 06-14-2015
Status: Active
Ownership: Private
"
1080,KHG Holdings,KHG Holdings 2,KHG Holdings-Singapore,KHG Holdings-Singapore,,,SG,,,,,,"BH Company ID:1080
Date Added: 06-14-2015
Status: Active
Ownership: Private
"
1086,Standard Chartered Bank,Standard Chartered Bank 2,Standard Chartered Bank-United States,Standard Chartered Bank-United States,,,US,,,,,,"BH Company ID:1086
Date Added: 06-14-2015
Status: Archive
"
1097,Deloitte,Deloitte 2,Deloitte-Myanmar,Deloitte-Myanmar,Yangon,,MM,,,,http://www2.deloitte.com/mm/en.html,,"BH Company ID:1097
Date Added: 06-14-2015
Status: Archive
Company Overview: Deloitte refers to one or more of Deloitte Touche Tohmatsu Limited, a UK private company limited by guarantee (“DTTL”), its network of member firms, and their related entities. DTTL and each of its member firms are legally separate and independent entities. DTTL (also referred to as “Deloitte Global”) does not provide services to clients. Please see About Deloitte to learn more about our global network of member firms.
"
1231,PWC Myanmar,PWC Myanmar 2,PWC Myanmar-Myanmar,PWC Myanmar-Myanmar,Yangon,,MM,,(+95) 9450494662,,http://www.pwc.com/mm/en.html,,"BH Company ID:1231
Date Added: 06-14-2015
Status: Active
Ownership: Private
Company Overview: PwC Myanmar
PwC Myanmar helps organisations and individuals create the value they’re looking for. Our firm comprises of highly qualified local professionals with years of international experience, supported by domain experts from PwC Singapore; a combination that brings you in-depth, on-the-ground knowledge base while tapping on PwC’s global reach and expertise. We are committed to helping organisations adapt their commercial interests successfully, transform and develop their operations, solve their business issues, and identify as well as maximise the opportunities they seek.

With the opening of our firm in Yangon on 6 November 2012, PwC Myanmar is a member firm of the PwC Network - comprising of a network of firms (with each being a separate legal entity) in 157 countries with more than 195,000 people, who are dedicated to working together, providing quality services to clients throughout the world.

Get in touch with the PwC team here.
"
1269,MAB Bank,MAB Bank 2,MAB Bank-Myanmar,MAB Bank-Myanmar,Yangon,,MM,,(+95) 1373178,,,,"BH Company ID:1269
Date Added: 06-14-2015
Status: Active
"
1342,Wa Minn Group of Companies,Wa Minn Group of Companies 2,Wa Minn Group of Companies-Myanmar,Wa Minn Group of Companies-Myanmar,Yangon,,MM,,(+95) 19660772,,http://www.waminn.com/our-vision/,,"BH Company ID:1342
Date Added: 06-14-2015
Company Description:The company road map begins with our mission and that is excellent quality, boundless innovation, care for our investors, providing employee opportunities and passion for service which is shown in all of our ventures. Regardless of the many changes and diversification Wa Minn has had over the years it continues to focus on providing a satisfactory return to shareholders; looking after its employees and ensuring they have a safe environment in which to work; looking after and caring for the environment; and making a contribution to the communities in which it operates.
Status: Active
Ownership: Private
"
1395,Bonfiglioli South East Asia Pte ltd,Bonfiglioli South East Asia Pte ltd 2,Bonfiglioli South East Asia Pte ltd-Singapore,Bonfiglioli South East Asia Pte ltd-Singapore,,,SG,,,,http://www.bonfiglioli.com/en/company/history/milestones/,,"BH Company ID:1395
Date Added: 06-14-2015
Status: Active
"
1427,OCBC Bank,OCBC Bank 2,OCBC Bank-Singapore,OCBC Bank-Singapore,,,SG,,(+65) 65381111,,http://www.ocbc.com/group/group-home.html,,"BH Company ID:1427
Date Added: 06-14-2015
Status: Qualified Lead
No. of Employees: Retained
Ownership: Public
"
1475,Bank of America,Bank of America 2,Bank of America-Hong Kong SAR,Bank of America-Hong Kong SAR,,,,,,,,,"BH Company ID:1475
Date Added: 06-14-2015
Status: Active
Ownership: Private
"
1540,Irrawaddy Green Towers,Irrawaddy Green Towers 2,"308, Ahlone Road, Dagon Township","308, Ahlone Road, Dagon Township",Yangon,,MM,,(+95) 12301964,,http://igt.com.mm/contact-us-my/,,"BH Company ID:1540
Date Added: 06-14-2015
Status: Unqualified
Company Overview: Irrawaddy Green Towers Limited (“ IGT” ) ??? ?????????????????????? ??????????????? ??????? ??????????????????????? ???????????????? ??????????????????????????????? ????????????????????????????? ??????????????????????????????????????????? ???? ?????????? IGT ??? ????????????? ????????????????? IGT ??? ?????????????????????????? ?????????????????????????????????? ????????????????? ?????????????????? ????????? ??????????????? Telenor ??????????????????????????????????? ????????? ????? ???? ?????????????? ?????????? ????????? ???? ???????? ???????????????? ?????????????? IGT ???? ???????????? ??? ??????????????????? ???????????????????????????????? ???????????????????????????????????????? ????? ?????? ????????????????????????????? ??????????????????? ?????? ??????????? ?????????????????? ????????????????

??????????????????????????? ???????????????????????????????????? ??????????????????????????? Alcazar Capital limited ?? ?????????????????? ? ??????????????? ????????????????????????????????????????? ???????????????????????????????????? ???????????????? ???????????? ??????? ???????????????????????????? ? MTN ??????? ???????????????????????????????? ???????????????????????? M1 Group ? Baron Telelink ? ????? ???????????? (??????????????? ??????????????????????????????? ???????????? ??????????????????????)? SBA Communications (????? ??????????????????? ????????? ???????????????)? Sprint ? Helios ????? ???????????????????????????????????? ????????? ?????????????????? ?????????

?????????????????????????? ??????????????? ???????????? ??????? ????????? ??????????????? ?????? ??????? ????????? ?????? ?????? ?????????????????? ???????? ?????? ??????? ??????????????? ???????????? ????????????? ????? ?????????????? ???????? ???????????????????? ?????????????? ?????? ????????? ?????????????????????????????? ??????????????????????????? ????????????????????? ????????????????????????????? ????????????????????

IGT ???????? ???????????????? (???????????????????)???????? ?????????? ???????????????????????????????????????? ???????????????? ??????????????????????????????? ?????????????? ??????? ?????????? ???????????????? ???????????????????????????? ???????????????????????????????????????????? ????????????? ???????????????????????? ????? ???? ??????????????? ????????? ????????????????? IGT ?????????? ????????????????????????? ????????? ????????????????????????? ???????????????????????????? ??????????????????? ???????????????????????? ??????????????? ???????????????????????
"
1550,Asian Development Bank,Asian Development Bank 2,Asian Development Bank-Myanmar,Asian Development Bank-Myanmar,Yangon,,MM,,(+95) 18603433-34,,http://www.adb.org/,,"BH Company ID:1550
Date Added: 06-14-2015
Status: Active
"
1722,MySquar,MySquar 2,MySquar-Myanmar,MySquar-Myanmar,Yangon,,MM,,(+33) 660509219,,http://mysquar.com/en,,"BH Company ID:1722
Date Added: 06-15-2015
Status: Active
"
1807,Myanmar Brewery Limited,Myanmar Brewery Limited 2,No (3) Trunk Road Pyinmabin Industrial,No (3) Trunk Road Pyinmabin Industrial,Yangon,,MM,,(+95) 1540071,,https://www.work.com.mm/my/employer/myanmar-brewery-ltd.html,,"BH Company ID:1807
Address 2: Complex Mingalardon Township
Date Added: 07-01-2015
Company Description:Myanmar Brewery Limited (MBL) is a top company in Myanmar with market-leading beer brands like Tiger Beer, Myanmar Beer, Double Strong Beer, ABC Stout, and Andaman Gold Beer. MBL is seeking new staff who are looking to join a dynamic company with excellent growth prospects. MBL offers the right candidates with real opportunities to realize their full potential. We are looking for qualified and talented applicants to fill the vacancy mentioned below. If you are a self-motivated individual with a high level of initiative and dedication, we invite you to join us.
Status: Qualified Lead
Ownership: Private
"
1877,United Overseas Bank Limited,United Overseas Bank Limited 2,United Overseas Bank Limited-Myanmar,United Overseas Bank Limited-Myanmar,,,MM,,+95 1 255 681,+95 1 253 318,http://www.uob.com.sg/personal/index.html,,"BH Company ID:1877
Date Added: 08-03-2015
Status: Qualified Lead
Ownership: Private
"
1896,CCI France Myanmar,CCI France Myanmar 2,"271-272, Bagayar Street, Sanchaung ","271-272, Bagayar Street, Sanchaung ",Yangon,,MM,,(+95) 1523700,,http://www.ccifrance-myanmar.org/,,"BH Company ID:1896
Address 2: Township
Date Added: 08-21-2015
Status: Qualified Lead
Ownership: Private
"
1956,Hayman Capital,Hayman Capital 2,"N°92/2 Than Lwin Street, Golden Valley","N°92/2 Than Lwin Street, Golden Valley",Yangon,,MM,,(+95) 1535643,,http://www.hayman-capital.com.mm/,,"BH Company ID:1956
Address 2: Ward (1) Bahan Township, Yangon, Myanmar
Date Added: 09-18-2015
Competitors: Acleada 
Pact 
World Vision 
Proximity designs 
Flotin 
Down
Status: Unqualified
Ownership: Private
Company Overview: To be the leading capital company, delivering world-class service through the blending of state-of-the-art technology and visionary management in partnership with competent and committed staff, to achieve sound financial health with sustainable value addition to all our stakeholders. We are committed to do this mission while ensuring the highest levels of ethical standards, professional integrity, corporate governance and regulatory compliance.
"
2009,Kernellix,Kernellix 2,"MICT Park, Bld 11, Rm 506, Hlaing ","MICT Park, Bld 11, Rm 506, Hlaing ",Yangon,,MM,,,,http://www.kernellix.com/services.html,,"BH Company ID:2009
Address 2: University
Date Added: 10-11-2015
Status: Qualified Lead
Ownership: Private
Company Overview: Security Assessment

Today’s organizations connect business critical information systems to suppliers and customers to improve efficiency. The phenomenon exposes the organizations to risk of being attacked by malicious actors across the globe. Our security assessment services enables the organizations to improve security of business critical information systems by uncovering security flaws before the adversaries do. We have a spectrum of bespoke security assessment services to meet the security requirements of your organization.

Vulnerability Scanning: Automated scanning of the infrastructure and applications by state-of-the-art tools and verification by our security experts.
Vulnerability Assessment: Combination of automated testing and manual by our security experts testing to uncover the vulnerabilities in the infrastructure and application.
Penetration Testing: Goal oriented security assessment simulating cyber attacks to assess the security posture of the target environment and to determine impact of cyber intrusions to the organizations.
Web Application Security Assessment: Special security assessment dedicated to uncover security flaws in web application such as injections, session management, sensitive information exposure, privilege escalations and more.
Mobile Application Security Assessment: Special security assessment dedicated to uncover security flaws in mobile application such as weak server side controls, insecure data storage, insecure transport layer protection and more.
IT Infrastructure & Security Solutions

Building a secure and resilient IT infrastructure requires not only the understanding of organization’s business strategies but also demands expertise in IT and cyber security. Our team of experts work closely with the clients to design, build and operate resilient IT infrastructure that align with the organizations’ business strategies.

We partnered with leading names in the security products and solutions to bring state-of-the-art technologies to our clients. At the same time, we design and build vendor agnostic IT infrastructure and security solutions to maximize values for our clients. Our solutions are be spoke and tailored to maximize the return for clients’ IT investments.

Security Awareness Trainings

Humans are known to be one of the weakest layers in line of defense against cyber attacks. For the organizations to be secure and resilient, it is vital to ensure that employees are well informed about the current cyber threats and attacks. Our information security awareness and training programs are designed to equip organizations’ personnel with essential knowledge required to reduce risks. For maximum effectiveness, our security awareness programs’ contents and delivery methods are tailored for different types of audience ranging from senior executives to operational staff.

Governance, Risks and Compliance (GRC) Solutions

IT best practice and governance frameworks facilitate organizations to align IT services with business strategies. Risk management frameworks provide organizations a systematic approach to manage risk. We provide consultation services for organizations to establish standard practices to prepare for compliance. Our service offerings are crafted based on globally practiced cyber security and risk management frameworks to enable organizations to align cybersecurity investments with industrial, legal, regulatory, standards and frameworks.
"
2231,Highland Metals,Highland Metals 2,Highland Metals-Germany,Highland Metals-Germany,,,DE,,(+408) 2712955,,https://highlandmetals.com/,54-co-doc.pdf,"BH Company ID:2231
Date Added: 11-29-2015
Date Founded: 1988
Status: Active Account
No. of Employees: Contingent
Ownership: Private
Company Overview: ABOUT US
Highland Metals Celebrates over 25 years!
“Wire is our passion, and our promise has always been to supply  every orthodontist with Simply Great Wire at affordable prices.”
–Ken Highland
In 1988, Ken Highland started Highland Metals Inc. with a personal mission to offer orthodontists high quality arch wire at affordable prices. Unafraid to take on the challenge of finding a solution to the problems he saw within the orthodontic arch wire industry, Mr. Highland developed and refined a manufacturing process for high quality Nickel Titanium archwires with excellent results: precision drawn NiTi wire that isn’t brittle – and one that doctors could easily bend using their own instruments.
His innovative, no-frills approach to wire-making changed the face (and the teeth) of the orthodontic wire-making industry. NiTi is what we’re famous for. Highland Metals emerged from Ken Highland’s garage and moved to a high quality manufacturing facility, located in San Jose, California, and has since established itself as an industry leader and a trusted source for quality orthodontic wire. Today, tens of thousands of orthodontists all over the world choose Highland Metals wire because it is smooth, strong, easy to work with, and comfortable for their patients.
When the company first started, we only offered one kind of wire. Today, we offer a range of wire alloys; each being engineered to meet demanding standards for specific orthodontic use and treatment.
Since the start of our business, HMI has been committed to continued product improvement and innovation. Highland Metals was the first in the industry to offer NiTi on a Spool, Tri-Ang wire, High Torque NiTi, NiTi V-Notch Archwire and more. After years of testing and refinement, Mr. Highland and his team successfully created our BetaBlue Archwire: a stronger, more reliable, nickel-free titanium alloy than other Beta Titanium products.
Wire is not a sideline for us. Wire is the core of our company; our focus, our passion. Though a lot has changed over the past 25 years, making sure we provide you with superior quality, value, and outstanding customer service are still our top priorities never will. Simply Great Wire is not just a slogan, it’s our promise to every doctor who uses our wire.
We are thankful for all the support Highland Metals has relished over the years, internally and externally, from our amazing staff, to our loyal customers.
High Quality
Our commitment to providing top quality products at reasonable prices mean we spend money on quality control, not fancy packaging. At Highland Metals, every step of the manufacturing process is closely monitored and tested to meet our exact specifications; we don’t accept anything but the absolute best. All HMI wire must pass over 50 quality checks that include force deflection, flatness, workability, shape conformance, elasticity, size, strength, polish, and smoothness. Also, unlike other manufacturers’ products, our wire is never brittle.  You can always rely on Highland Metals for the superior quality that saves you time and money.
Excellent Customer Service
It is our business to make your life easier. Fast, efficient service is just as important as our high quality products. Your time is valuable and our goal is to ship your order within 2 business days. Also, for your most immediate needs and concerns, our friendly, knowledgeable Customer Service Representatives are on hand to answer your call – our reps do not have voice mail so you’ll never get a machine during normal business hours.
Mission Statement
Highland Metals’ mission is to provide patient satisfaction by serving clients, staff, and suppliers with integrity, excellence, teamwork, and wisdom.
LinkedIn: (+1) 8003686484
"
