company-externalId,company-name,company-locationName,company-locationAddress,company-locationCity,company-locationState,company-locationCountry,company-locationZipCode,company-phone,company-fax,company-website,company-document,company-note
11,Myanmar Investments International Limited,Suite 10-B Pansodan Business Tower,Suite 10-B Pansodan Business Tower,Kyauktada Township,,MM,Yangon,+95 1 391 804 - 7,,http://www.myanmarinvestments.com/,,"BH Company ID:11
Address 2: 123/133 Anawrahta Road
Date Added: 05-19-2015
Company Description:Myanmar Investments' strategy is to invest in a diverse range of opportunities in Myanmar as the country rejoins the ranks of dynamic Asian economies. This is a process which will require substantial investment in the country's infrastructure (telecoms, power and transportation) and to upgrade the logistics and capacity associated with the manufacturing sector and agro-industry. Rekindled consumer demand will require a rapid development of Myanmar's financial services industry and a resurgent tourism industry will require a significant increase in facilities to cope with demand.
 
Myanmar Investments seeks to participate in this exciting journey by acting as a conduit for overseas investors to invest in businesses led by dynamic and visionary Myanmar entrepreneurs, and in some instances will co-invest alongside established international companies.
Status: Archive
Ownership: Public
Company Overview: Private Equity Investment Group in Myanmar
"
12,Jardine & Matheson,Jardine Matheson Management (SEA) Pte Lt,Jardine Matheson Management (SEA) Pte Lt,Yangon,,MM,0,(95 1) 661 083,,http://www.jardines.com/the-group/introduction.html,"14-co-doc.jpg,52-co-doc.pdf","BH Company ID:12
Date Added: 05-19-2015
Status: Active Account
No. of Employees: Contingent
Ownership: Private
Company Overview: Founded as a trading company in China in 1832, Jardine Matheson is today a diversified business group focused principally on Asia. Its businesses comprise a combination of cash generating activities and long-term property assets.

The Group’s interests include Jardine Pacific, Jardine Motors, Jardine Lloyd Thompson, Hongkong Land, Dairy Farm, Mandarin Oriental, Jardine Cycle & Carriage and Astra International. These companies are leaders in the fields of engineering and construction, transport services, insurance broking, property investment and development, retailing, restaurants, luxury hotels, motor vehicles and related activities, financial services, heavy equipment, mining and agribusiness.

Jardine Matheson Holdings Limited is incorporated in Bermuda and has a standard listing on the London Stock Exchange as its primary listing, with secondary listings in Bermuda and Singapore. Jardine Matheson Limited operates from Hong Kong and provides management services to Group companies.
"
13,Max Myanmar Holding Company Limited,"No. 123, Alanpya Pagoda Road, Dagon Town","No. 123, Alanpya Pagoda Road, Dagon Town",Yangon,,MM,0,(95-1) 255819 - 21,,http://www.maxmyanmargroup.com,60-co-doc.pdf,"BH Company ID:13
Date Added: 05-19-2015
Status: Active Account
No. of Employees: Contingent
Ownership: Private
Company Overview: The Max Myanmar Group of Companies was originally established as Max Myanmar Co., Ltd. in 1993. It started operation by importing buses from Japan, simultaneously followed by import of generators and earth-moving equipment and machinery. Through an aggressive growth strategy, the Company steadily expanded and diversified into the fields of civil construction, mechanical engineering, transportation, hotel and tourism, rubber plantations and banking industry.

Subsequently, the Max Myanmar Group Of Companies was formed, comprising seven independent entities, which are:-

Max Myanmar Group of Companies1) Max Energy Co., Ltd.
2) Max Myanmar Co., Ltd. (Trading)
3) Max Myanmar Construction Co., Ltd.
4) Max Myanmar Hotel Co., Ltd.
5) Max Myanmar Manufacturing Co., Ltd. 
6) Max Myanmar Highway & Toll Collection Co. Ltd.
7) Shwe Yaung Pya Agro Co., Ltd.


Max Myanmar Co., Ltd is principally engaged in the business of trading, mainly in the supply of private and commercial vehicles and heavy machinery. The Company is the sole agent in Myanmar which distributes the Japanese brand of generators “Airman”. 

In the construction sector, the Company participated in the project of constructing three sports centre, two in Nay Pyi Daw and one in Mandalay, for hosting the 2013 SEA Games. Each centre consists of 30,000 seat stadium, another for aquatic events and one for indoor games. The Company also built football academies at Mandalay and Pathein, each accommodating some 140 trainees.  The company is also involved in the construction of four star rated Hotel project, namely “Novotel Yangon Max”, where the management will be run by one of the renowned Hotel Chain owners across the globe, the ACCOR Group. 

In hotel and tourism, the Group has a total of three hotels under its operations, namely, Hotel Max Chaung Tha Beach, Royal Kumudra Hotel (Nay Pyi Daw) and National Landmark Hotel. The growth strategy of the Max Myanmar Group is to open more hotels and resorts in key cities and become the owner of the largest chain of hotels in Myanmar. 

In the Agricultural Sector, the Group acquired a 5,000 acres Rubber Plantation Project in 2005. In the near future, its aim is to participate in the manufacturing of tyres and its related products. 

The Max Myanmar Group Of Companies employ approximately 7,000 salaried employees who serve the Group’s many diversified businesses through its various operations throughout Myanmar. Its team of well-trained employees, consisting of professional, managerial and operational staff, consistently demonstrate the expertise and strategic leadership needed to steer the Group. On the top of its priority list is the welfare of its employees, which include benefits like field allowances, bonuses, meals, medical and education allowances and annual celebrations. 

The Max Myanmar Group takes pride in its well-deserved reputation for being client orientated. It is the policy of the Group to meet the client’s requirements in terms of quality, cost and time schedule, and always developing and maintaining a mutually beneficial working relationship. It is always looking for better ways of doing business, of maintaining and enhancing this reputation in all future dealings with its valued customers.

The Max Myanmar Group is committed to benefit the economic and social development of the region in which it operates. No Max Myanmar Group or its subsidiaries shall undertake any project or activity to the detriment of the wider interests of the communities in which operates.

The Max Myanmar Group’s management practices and business conduct shall benefit the country, localities and communities in which it operates, to the extent possible and affordable, and shall be in accordance with the laws of the land.

The Max Myanmar Group, in the course of its business activities, shall respect the culture, customs and traditions of the region in which operates. The Group conforms to the trade procedures, including licensing, documentation and other necessary formalities, as applicable.

The Max Myanmar Group strongly condemns corruption and bribery among its employees and also when dealing with clients or other third parties concerned.
"
14,Apollo Towers Myanmar Ltd,"No(51), Sayar San Road, Sayarsan Ward","No(51), Sayar San Road, Sayarsan Ward",Yangon,,MM,,(+95) 18604502,,http://apollo-towers.com/company/,"28-co-doc.pdf,29-co-doc.docx,4-co-doc.docx,43-co-doc.pdf,5-co-doc.docx,55-co-doc.pdf,9-co-doc.pdf","BH Company ID:14
Address 2: Bahan Towship
Date Added: 05-20-2015
Company Description:Apollo Towers Myanmar owns and operates telecom tower and power infrastructure, including construction, management and leasing of towers to all mobile operators in Myanmar. Our strategy of tower sharing enables Apollo to offer exceptional value. The company is based in Yangon, Myanmar, where it has established the country’s leading reputation for tower construction and management. Apollo’s biggest challenge, at this point, is to ‘scale up’ to satisfy all of the opportunities that are being offered to us.

Core Values:
Always obey the letter of law: all Apollo employees, contractors & suppliers are contractually bound by our policies for International Business Conduct
We ensure that all government & regulatory approvals are in place before construction begins
Always follow Health & Safety standards
Our Strategy:
Provide the highest quality telecom infrastructure at flexible, competitive prices
Beyond cell towers, our vision includes enabling a full spectrum of advanced telecommunications services for all Myanmar technology providers
Date Founded: 2013
Status: Active Account
No. of Employees: Contingent
Ownership: Private
Company Overview: Found on Visiting card
"
15,Myanmar Tower Company,"Rm-301,3rd Fl, Pearl Condominium","Rm-301,3rd Fl, Pearl Condominium",Yangon,,MM,,(+95) 18604015,,http://www.towerxchange.com/the-next-phase-of-the-myanmar-tower-rollout/,6-co-doc.doc,"BH Company ID:15
Address 2: Kabaraye Pagoda Rd, Bahan Tsp
Date Added: 05-21-2015
Company Description:Apr 17, 2015 Posted By Admin In Asia, Asia News, Editorials, News, Southeast Asia, Towercos, Who's Who Tagged Alcazar Capital, Apollo Towers, Asia, Bankability, Best Of TowerXchange, Country Risk, Debt Finance, Digicel, Digicel Myanmar Tower Company, Eco-Friendly Towers, Editorial, Flexenclosure, Infrastructure Sharing, Irrawaddy Green Towers, KDDI, Leap Power Solutions, Lease Rates, MLA, MPT, MTC, Myanmar, Myanmar Infrastructure Group, Network Rollout, Ooredoo, PAMEL, Pan Asia Tower, Private Equity, Project Finance, Square1 Infrastructure, Stakeholder Buy-In, Sumitomo Corporation, Telenor, Tenancy Ratios, Towercos, TPG, Young Investment Group Comments 1
Joint rollout abandoned, Telenor and Ooredoo award separate contracts for phase three of rollout

Read this article to learn:

Phase one and two finally complete; ~6,850 towers now lit in Myanmar
MPT market share holding up against competition
Award of next phase of rollout restructures Myanmar towerco market
High capex and opex combines with moderate leaseback rates to make capital raising challenging
MIC finally issues towerco licenses
Yet another change of direction within the Myanmar rollout – for a couple of weeks it looked like the heralded co-ordinated rollout might finally take place, with Telenor issuing an RFP for 1,105 sites on which Ooredoo were to co-locate,

This content is restricted to site members. If you are an existing user, please login. New users may register below.
Status: Qualified Lead
Ownership: Private
Company Overview: found on internet
"
16,Oceanic IT Ltd,Oceanic IT Ltd-United Kingdom,Oceanic IT Ltd-United Kingdom,,,GB,,,,,,"BH Company ID:16
Date Added: 05-21-2015
Status: Unqualified
"
17, NBI Consulting, NBI Consulting-Hong Kong SAR, NBI Consulting-Hong Kong SAR,,,,,+852 3185 0507,,http://nbiconsulting.com/,,"BH Company ID:17
Date Added: 05-22-2015
Company Description:People and relationships. At nbi, they’re central to everything we do. So we’re about more than providing executive search, coaching and assessment services.

We’re about staying true to our values of humour, humanity, honesty and humility. Our values define us. They ensure we measure our success, not just in business terms, but in the difference we make to peoples’ lives.

It’s an approach where everyone wins. Clients receive services that attract and retain exceptional talent worldwide. Candidates enjoy support that sees them thrive in their new roles. Together, everyone benefits from lasting relationships that help people succeed.

Our clients share our values. And so do our people as both lead to an enjoyable and productive working relationship.


Status: Unqualified
Ownership: Private
"
18,Liquid Marketing,"Level 6, 99 Condo  99 Dhammazedi Road","Level 6, 99 Condo  99 Dhammazedi Road",Yangon,,MM,,(+95) 925 036 9761,,http://www.marketing-myanmar.com/,65-co-doc.pdf,"BH Company ID:18
Address 2: Kamayut Township, Yangon, Myanmar
Date Added: 05-25-2015
Status: Active Account
No. of Employees: Contingent
Ownership: Private
Company Overview: Marketing and branding agency based out of Bangkok with a new office in Yangon.
"
19,Luther Law Firm Limited,4/F Apr 401 Myawaddy Bank Luxury Complex,4/F Apr 401 Myawaddy Bank Luxury Complex,Yangon,,MM,,(+95) 12301609,(+95) 12301353,www.luther-lawfirm.com,,"BH Company ID:19
Address 2: Bo Gyoke Road Corner Wa Dan Street
Date Added: 06-02-2015
Company Description:Hits the mark. Luther.

We think and advise from a business perspective. We are aware of the importance of efficient resource management and the significance of planning that is viable and farsighted. We also always bear in mind the business and financial implications of our advice. This applies to both litigious and structuring advice.

Our main focus is our client. We identify with our clients' interests and objectives. Working intensively with our clients and understanding their needs are the common red thread of our advice. We ensure that from the beginning to the end we never lose sight of that thread.

Added value through integrated solutions. Our clients appreciate interdisciplinary advice. If required, we can supplement our legal services with our own in-house tax expertise. We are also used to working with external business consultants, accountants and investment bankers.  

Specialisation and variety. We have expertise in all the areas that are important for small to medium-size businesses, major corporations and the public sector. Our size allows our lawyers and tax advisors to focus on specific areas and industries. Our legal and tax Practice Areas are divided into Service Lines.  Therefore, our clients can also rely on our teams to deal with interdisciplinary matters.

Our advice extends beyond borders. We are an independent German partnership of lawyers and tax advisors with 11 offices in Germany. We also have 5 international offices in the relevant European and Asian markets which offer cross-border advice and project management.  In addition, we are exceptionally well networked internationally through our membership in the worldwide tax organisation Taxand.

We invest in competence. Our employees and our partners are our assets. We have already started investing in the next generation and encourage our lawyers and tax advisors to further their expertise.  We offer a working environment which is characterised by team spirit and integrity. Our firm and above all our clients benefit from excellence.


Luther Rechtsanwaltsgesellschaft mbH is certified according to quality standard ISO 9001.
Status: Unqualified
Ownership: Private
Company Overview: Law Firm with office in Myanmar
"
20,Aquila,Aquila-Myanmar,Aquila-Myanmar,,,MM,,,,,,"BH Company ID:20
Date Added: 06-04-2015
Status: Archive
"
26,CEA Projects Co. Ltd.,"Pearl Condo, Block B, G/F Room 18","Pearl Condo, Block B, G/F Room 18",Yangon,,MM,,(+95) 9421 031 286,,www.ceaprojects.com,,"BH Company ID:26
Address 2: Kabar Aye Pagoda Road
Date Added: 06-06-2015
Status: Archive
No. of Employees: Contingent
Ownership: Private
"
27,Vietnam Airlines,1702 Sakura Tower 339 Bogyoke Aung San,1702 Sakura Tower 339 Bogyoke Aung San,,,MM,,(+95) 1255086,,www.vietnamairlines.com,,"BH Company ID:27
Address 2: Road Kyauktada Township
Date Added: 06-08-2015
Status: Unqualified
Ownership: Private
Company Overview: Golden Lotus Plus Program offers Vietnam Airlines’ frequent flyers plenty of priority and privileged service and valuable rewards.
 
Earn miles: Golden Lotus Plus members can earn miles when travelling on Vietnam Ailines or any airlines of SkyTeam Alliance. Members can also accumulate miles by using products or services of our partners such as banking and finance, hotels and resorts, car rental, telecommunications....
 
Redeem miles: Members can use miles to get free tickets on Vietnam Airlines and any airlines of SkyTeam, upgrades rewards, extra baggage reward, lounge access rewards on Vietnam Airlines and other rewards of our non-airlines partners...
 
Tier benefits: Members get more benefits when travelling by upgrading their tier level of Golden Lotus Plus.
 
To join the Golden Lotus Plus, you can go to Enroll now and follow the instructions to register online.
Notes:
The Golden Lotus Plus membership number will be sent by email directly to members after successfully enrolling.
Please remember to quote your membership number when making reservations and at check-in counter for your flight. By this way, you will begin to earn miles even before receiving your permanent card.
Keep your original boarding passes and ticket copies or e- ticket number and original invoice of our partners (as they may be required to verify claims for missing miles) until miles are credited to your account.
You will receive a permanent membership card and program material once you have completed your first eligible flight with Vietnam Airlines or any airlines in SkyTeam and miles have been credited to your account.
Members, who have postal addresses registering outside Vietnam, will receive the card in approximately 2 months. If it is not delivered after 2 months, please kindly contact to the nearest Vietnam Airlines’ branch office or Golden Lotus Plus center.
"
28,Tilleke & Gibbins,1703A 17th Floor Sakuar Tower,1703A 17th Floor Sakuar Tower,,,MM,,(+95) 1255208,,www.tilleke.com,,"BH Company ID:28
Address 2: 339 Bogyoke Aung San Road
Date Added: 06-08-2015
Date Founded: 1890
Status: Unqualified
Ownership: Private
Company Overview: Tilleke & Gibbins is a leading Southeast Asian regional law firm with over 120 lawyers and consultants practicing in Bangkok, Hanoi, Ho Chi Minh City, Jakarta, Vientiane, and Yangon.

Our firm represents the top investors and the high-growth companies that drive economic expansion in Asia in the key areas of commercial transactions and M&A, dispute resolution and litigation, and intellectual property.

Established in 1890, we have grown into the largest independent law firm in Thailand and a leading international firm in Indonesia, Laos, Myanmar, and Vietnam due to our client focus, regional expertise, and international vision.

Client Focus. We are committed to our clients’ long-term success. To this end, we take the time to learn about our clients’ unique corporate culture and operations, their goals for their business, and how we can best provide value. We understand that value is a key driver in our relationship with our clients, and we are committed to providing efficient, effective, and responsive legal services that deliver tangible results for our clients.

Regional Expertise. Clients rely on our unparalleled expertise in both the law and the business climate. We know the key industries and players, and we can identify advantageous private partnerships and areas for government collaboration. Beyond business transactions, we help our clients to overcome language barriers and to appreciate the historical and cultural factors that impact doing business in Southeast Asia.

International Vision. Our roots are in Southeast Asia, but our practice is global. Our corporate clients include world leaders in the fields of pharmaceuticals and healthcare, energy and infrastructure, consumer goods and retailing, manufacturing, financial services, information technology, and telecommunications. We proudly help global companies excel in Asia and domestic companies shine abroad.

For these reasons and more, our clients trust us with their biggest deals, their most precious intellectual property, and their most critical legal matters. We invite you to take a closer look at our practices and to contact us if we may be of assistance.
"
29,Zagar Communications,47A (3rd Floor) Yaw Min Gyi Street,47A (3rd Floor) Yaw Min Gyi Street,Yangon,,MM,,(+95) 1 393-235,,http://zagarcommunications.com,,"BH Company ID:29
Address 2: Dagon Township
Date Added: 06-09-2015
Date Founded: 2013
Status: Active Account
No. of Employees: Contingent
Ownership: Private
Company Overview: There is no better word to describe our business than Zagar, the Burmese word for “conversation”. Whether your audience is internal or external, we know the importance of controlling the conversation and, even more importantly, we know how to do it in Myanmar.

Zagar Communications is the first full-service public relations firm dedicated to helping organizations succeed in the Myanmar market. It was founded by a team of professionals with a cumulative 60+ years experience in public relations, emerging markets and finance in Southeast Asia with some of the most well-known names in international communications.

Our expertise spans from corporate, brand and product communications to community relations and corporate social responsibility. We can also do more specialized work, such as financial communications and crisis management.
"
30,Mekong Economics Limited,34 Ma Po Street 4th Floor,34 Ma Po Street 4th Floor,Yangon,,MM,,(+95) 12304043,,www.mekongeconomics.com,,"BH Company ID:30
Address 2: Sanchaung Township
Date Added: 06-09-2015
Date Founded: 2001
Status: Qualified Lead
Ownership: Private
Company Overview: Mekong Economics Ltd. (MKE) is a leading economic and socio-economic development and commercial consulting firm active in the Greater Mekong sub-region and Asia-Pacific region. MKE has a comprehensive regional presence with its Head Office in Hanoi (Vietnam) and a Representative Office in Yangon (Myanmar); as well as representative associates in Cambodia, Lao PDR, Myanmar and Timor- Leste. 

MKE specialises in providing research and technical assistance services to international development agencies, non-government organizations, and corporate clients. Our approach combines in-depth knowledge of the institutional and cultural environments in the region with international-standard technical assistance based on thorough economic and socio-economic analysis. MKE accomplishes more than 20 consulting projects every year throughout the Asia-Pacific region. Since its incorporation in 2001, over 200 overseas development assistance related projects have been completed. 

Having conducted numerous development projects in Myanmar since 2004, MKE established a branch office in Yangon in early 2012 to increase its presence in the country. With two in-house international economists and Myanmar national project, business development, and administrative support staff, Mekong Economics Myanmar (MKEM) maintains close operational ties with the head office in Hanoi, which provides research and project management support.
"
31,Signium International,36-38 (A) Myay Nu Street Sanchaung ,36-38 (A) Myay Nu Street Sanchaung ,Yangon,,MM,,(+95) 12306068-70,,www.signium.com,,"BH Company ID:31
Address 2: Township
Date Added: 06-09-2015
Date Founded: 1951
Status: Qualified Lead
Ownership: Private
Company Overview: Signium International is a global Executive Search Consulting firm. We provide top quality Consulting Services to national and multinational companies that need to recruit, grow and retain the very best leadership talent in their individual markets. 

Signium International has offices in principle cities of more than 25 countries and a team of 150 consultants. Our consultants possess exceptional experience and deploy high-touch expertise and rigorous processes to consistently deliver the highest quality candidates.
"
32,VDB Loi,65 Sule Pagoda Road & Merchant Street,65 Sule Pagoda Road & Merchant Street,Yangon,,MM,,(+95) 1371902,,www.vdb-loi.com,,"BH Company ID:32
Date Added: 06-09-2015
Date Founded: 2001
Status: Qualified Lead
Ownership: Private
Company Overview: Signium International is a global Executive Search Consulting firm. We provide top quality Consulting Services to national and multinational companies that need to recruit, grow and retain the very best leadership talent in their individual markets. 

Signium International has offices in principle cities of more than 25 countries and a team of 150 consultants. Our consultants possess exceptional experience and deploy high-touch expertise and rigorous processes to consistently deliver the highest quality candidates.
"
